Country,Year,Antibiotic_Group,S,I,R,TotalN,pS,pI,pR
Austria,2001,Aminopenicillins,40,0,6,46,87.0 %,0.0 %,13.0 %
Austria,2002,Aminopenicillins,131,0,4,135,97.0 %,0.0 %,3.0 %
Austria,2003,Aminopenicillins,233,0,3,236,98.7 %,0.0 %,1.3 %
Austria,2004,Aminopenicillins,427,0,3,430,99.3 %,0.0 %,0.7 %
Austria,2005,Aminopenicillins,386,0,5,391,98.7 %,0.0 %,1.3 %
Austria,2006,Aminopenicillins,446,0,8,454,98.2 %,0.0 %,1.8 %
Austria,2007,Aminopenicillins,405,1,8,414,97.8 %,0.2 %,1.9 %
Austria,2008,Aminopenicillins,516,1,9,526,98.1 %,0.2 %,1.7 %
Austria,2009,Aminopenicillins,480,1,5,486,98.8 %,0.2 %,1.0 %
Austria,2010,Aminopenicillins,578,0,10,588,98.3 %,0.0 %,1.7 %
Austria,2011,Aminopenicillins,526,1,2,529,99.4 %,0.2 %,0.4 %
Austria,2012,Aminopenicillins,599,2,3,604,99.2 %,0.3 %,0.5 %
Austria,2013,Aminopenicillins,620,1,7,628,98.7 %,0.2 %,1.1 %
Belgium,2001,Aminopenicillins,37,0,0,37,100.0 %,0.0 %,0.0 %
Belgium,2002,Aminopenicillins,164,0,0,164,100.0 %,0.0 %,0.0 %
Belgium,2003,Aminopenicillins,133,0,2,135,98.5 %,0.0 %,1.5 %
Belgium,2004,Aminopenicillins,181,0,4,185,97.8 %,0.0 %,2.2 %
Belgium,2005,Aminopenicillins,175,0,1,176,99.4 %,0.0 %,0.6 %
Belgium,2006,Aminopenicillins,216,1,1,218,99.1 %,0.5 %,0.5 %
Belgium,2007,Aminopenicillins,191,0,0,191,100.0 %,0.0 %,0.0 %
Belgium,2008,Aminopenicillins,171,0,5,176,97.2 %,0.0 %,2.8 %
Belgium,2009,Aminopenicillins,152,0,2,154,98.7 %,0.0 %,1.3 %
Belgium,2010,Aminopenicillins,233,0,5,238,97.9 %,0.0 %,2.1 %
Belgium,2011,Aminopenicillins,491,0,11,502,97.8 %,0.0 %,2.2 %
Belgium,2012,Aminopenicillins,482,2,7,491,98.2 %,0.4 %,1.4 %
Belgium,2013,Aminopenicillins,557,1,15,573,97.2 %,0.2 %,2.6 %
Bulgaria,2001,Aminopenicillins,21,0,1,22,95.5 %,0.0 %,4.5 %
Bulgaria,2002,Aminopenicillins,20,0,7,27,74.1 %,0.0 %,25.9 %
Bulgaria,2003,Aminopenicillins,39,0,3,42,92.9 %,0.0 %,7.1 %
Bulgaria,2004,Aminopenicillins,44,0,8,52,84.6 %,0.0 %,15.4 %
Bulgaria,2005,Aminopenicillins,57,0,5,62,91.9 %,0.0 %,8.1 %
Bulgaria,2006,Aminopenicillins,44,0,20,64,68.8 %,0.0 %,31.3 %
Bulgaria,2007,Aminopenicillins,46,0,7,53,86.8 %,0.0 %,13.2 %
Bulgaria,2008,Aminopenicillins,37,0,3,40,92.5 %,0.0 %,7.5 %
Bulgaria,2009,Aminopenicillins,51,0,10,61,83.6 %,0.0 %,16.4 %
Bulgaria,2010,Aminopenicillins,81,0,4,85,95.3 %,0.0 %,4.7 %
Bulgaria,2011,Aminopenicillins,65,0,4,69,94.2 %,0.0 %,5.8 %
Bulgaria,2012,Aminopenicillins,76,0,10,86,88.4 %,0.0 %,11.6 %
Bulgaria,2013,Aminopenicillins,106,0,2,108,98.1 %,0.0 %,1.9 %
Croatia,2010,Aminopenicillins,109,0,6,115,94.8 %,0.0 %,5.2 %
Croatia,2011,Aminopenicillins,166,0,2,168,98.8 %,0.0 %,1.2 %
Croatia,2012,Aminopenicillins,147,0,8,155,94.8 %,0.0 %,5.2 %
Croatia,2013,Aminopenicillins,156,0,17,173,90.2 %,0.0 %,9.8 %
Cyprus,2003,Aminopenicillins,24,0,0,24,100.0 %,0.0 %,0.0 %
Cyprus,2004,Aminopenicillins,34,0,1,35,97.1 %,0.0 %,2.9 %
Cyprus,2005,Aminopenicillins,34,0,1,35,97.1 %,0.0 %,2.9 %
Cyprus,2006,Aminopenicillins,39,0,2,41,95.1 %,0.0 %,4.9 %
Cyprus,2007,Aminopenicillins,50,0,1,51,98.0 %,0.0 %,2.0 %
Cyprus,2008,Aminopenicillins,63,0,12,75,84.0 %,0.0 %,16.0 %
Cyprus,2009,Aminopenicillins,44,0,21,65,67.7 %,0.0 %,32.3 %
Cyprus,2010,Aminopenicillins,64,0,4,68,94.1 %,0.0 %,5.9 %
Cyprus,2011,Aminopenicillins,53,0,1,54,98.1 %,0.0 %,1.9 %
Cyprus,2012,Aminopenicillins,76,0,1,77,98.7 %,0.0 %,1.3 %
Cyprus,2013,Aminopenicillins,65,0,0,65,100.0 %,0.0 %,0.0 %
Czech Republic,2001,Aminopenicillins,383,0,12,395,97.0 %,0.0 %,3.0 %
Czech Republic,2002,Aminopenicillins,496,0,9,505,98.2 %,0.0 %,1.8 %
Czech Republic,2003,Aminopenicillins,514,0,22,536,95.9 %,0.0 %,4.1 %
Czech Republic,2004,Aminopenicillins,551,0,3,554,99.5 %,0.0 %,0.5 %
Czech Republic,2005,Aminopenicillins,542,0,5,547,99.1 %,0.0 %,0.9 %
Czech Republic,2006,Aminopenicillins,503,0,11,514,97.9 %,0.0 %,2.1 %
Czech Republic,2007,Aminopenicillins,570,0,17,587,97.1 %,0.0 %,2.9 %
Czech Republic,2008,Aminopenicillins,637,0,12,649,98.2 %,0.0 %,1.8 %
Czech Republic,2009,Aminopenicillins,622,0,4,626,99.4 %,0.0 %,0.6 %
