Country,Year,Antibiotic_Group,S,I,R,TotalN,pS,pI,pR
Austria,2001,High level gentamicin,15,0,8,23,65.2 %,0.0 %,34.8 %
Austria,2002,High level gentamicin,38,2,16,56,67.9 %,3.6 %,28.6 %
Austria,2003,High level gentamicin,47,9,27,83,56.6 %,10.8 %,32.5 %
Austria,2004,High level gentamicin,126,16,43,185,68.1 %,8.6 %,23.2 %
Austria,2005,High level gentamicin,106,0,43,149,71.1 %,0.0 %,28.9 %
Austria,2006,High level gentamicin,169,3,70,242,69.8 %,1.2 %,28.9 %
Austria,2007,High level gentamicin,119,0,51,170,70.0 %,0.0 %,30.0 %
Austria,2008,High level gentamicin,225,2,62,289,77.9 %,0.7 %,21.5 %
Austria,2009,High level gentamicin,173,1,78,252,68.7 %,0.4 %,31.0 %
Austria,2010,High level gentamicin,209,3,100,312,67.0 %,1.0 %,32.1 %
Austria,2011,High level gentamicin,220,6,101,327,67.3 %,1.8 %,30.9 %
Austria,2012,High level gentamicin,298,3,124,425,70.1 %,0.7 %,29.2 %
Austria,2013,High level gentamicin,345,0,158,503,68.6 %,0.0 %,31.4 %
Belgium,2001,High level gentamicin,20,0,5,25,80.0 %,0.0 %,20.0 %
Belgium,2002,High level gentamicin,103,6,27,136,75.7 %,4.4 %,19.9 %
Belgium,2003,High level gentamicin,78,18,20,116,67.2 %,15.5 %,17.2 %
Belgium,2004,High level gentamicin,98,26,34,158,62.0 %,16.5 %,21.5 %
Belgium,2005,High level gentamicin,88,12,36,136,64.7 %,8.8 %,26.5 %
Belgium,2006,High level gentamicin,107,26,56,189,56.6 %,13.8 %,29.6 %
Belgium,2007,High level gentamicin,106,25,47,178,59.6 %,14.0 %,26.4 %
Belgium,2008,High level gentamicin,79,22,43,144,54.9 %,15.3 %,29.9 %
Belgium,2009,High level gentamicin,100,15,35,150,66.7 %,10.0 %,23.3 %
Belgium,2010,High level gentamicin,133,20,34,187,71.1 %,10.7 %,18.2 %
Belgium,2011,High level gentamicin,274,0,61,335,81.8 %,0.0 %,18.2 %
Belgium,2012,High level gentamicin,297,1,97,395,75.2 %,0.3 %,24.6 %
Belgium,2013,High level gentamicin,288,0,110,398,72.4 %,0.0 %,27.6 %
Bulgaria,2001,High level gentamicin,12,4,7,23,52.2 %,17.4 %,30.4 %
Bulgaria,2002,High level gentamicin,9,1,17,27,33.3 %,3.7 %,63.0 %
Bulgaria,2003,High level gentamicin,26,2,16,44,59.1 %,4.5 %,36.4 %
Bulgaria,2004,High level gentamicin,31,2,16,49,63.3 %,4.1 %,32.7 %
Bulgaria,2005,High level gentamicin,40,2,13,55,72.7 %,3.6 %,23.6 %
Bulgaria,2006,High level gentamicin,23,1,27,51,45.1 %,2.0 %,52.9 %
Bulgaria,2007,High level gentamicin,36,0,15,51,70.6 %,0.0 %,29.4 %
Bulgaria,2008,High level gentamicin,22,0,17,39,56.4 %,0.0 %,43.6 %
Bulgaria,2009,High level gentamicin,34,0,19,53,64.2 %,0.0 %,35.8 %
Bulgaria,2010,High level gentamicin,44,1,31,76,57.9 %,1.3 %,40.8 %
Bulgaria,2011,High level gentamicin,43,0,19,62,69.4 %,0.0 %,30.6 %
Bulgaria,2012,High level gentamicin,48,0,30,78,61.5 %,0.0 %,38.5 %
Bulgaria,2013,High level gentamicin,54,0,48,102,52.9 %,0.0 %,47.1 %
Croatia,2010,High level gentamicin,86,0,37,123,69.9 %,0.0 %,30.1 %
Croatia,2011,High level gentamicin,91,0,48,139,65.5 %,0.0 %,34.5 %
Croatia,2012,High level gentamicin,95,0,57,152,62.5 %,0.0 %,37.5 %
Croatia,2013,High level gentamicin,109,0,58,167,65.3 %,0.0 %,34.7 %
Cyprus,2003,High level gentamicin,4,0,3,7,57.1 %,0.0 %,42.9 %
Cyprus,2004,High level gentamicin,8,0,27,35,22.9 %,0.0 %,77.1 %
Cyprus,2005,High level gentamicin,10,0,25,35,28.6 %,0.0 %,71.4 %
Cyprus,2006,High level gentamicin,23,0,18,41,56.1 %,0.0 %,43.9 %
Cyprus,2007,High level gentamicin,20,0,31,51,39.2 %,0.0 %,60.8 %
Cyprus,2008,High level gentamicin,26,0,49,75,34.7 %,0.0 %,65.3 %
Cyprus,2009,High level gentamicin,22,0,43,65,33.8 %,0.0 %,66.2 %
Cyprus,2010,High level gentamicin,51,0,16,67,76.1 %,0.0 %,23.9 %
Cyprus,2011,High level gentamicin,44,0,10,54,81.5 %,0.0 %,18.5 %
Cyprus,2012,High level gentamicin,69,0,8,77,89.6 %,0.0 %,10.4 %
Cyprus,2013,High level gentamicin,49,0,18,67,73.1 %,0.0 %,26.9 %
Czech Republic,2001,High level gentamicin,241,0,150,391,61.6 %,0.0 %,38.4 %
Czech Republic,2002,High level gentamicin,306,0,199,505,60.6 %,0.0 %,39.4 %
Czech Republic,2003,High level gentamicin,286,0,229,515,55.5 %,0.0 %,44.5 %
Czech Republic,2004,High level gentamicin,312,0,236,548,56.9 %,0.0 %,43.1 %
Czech Republic,2005,High level gentamicin,232,0,191,423,54.8 %,0.0 %,45.2 %
Czech Republic,2006,High level gentamicin,291,0,219,510,57.1 %,0.0 %,42.9 %
Czech Republic,2007,High level gentamicin,292,0,286,578,50.5 %,0.0 %,49.5 %
Czech Republic,2008,High level gentamicin,330,0,314,644,51.2 %,0.0 %,48.8 %
Czech Republic,2009,High level gentamicin,333,0,293,626,53.2 %,0.0 %,46.8 %
Czech Republic,2010,High level gentamicin,297,0,274,571,52.0 %,0.0 %,48.0 %
Czech Republic,2011,High level gentamicin,299,0,257,556,53.8 %,0.0 %,46.2 %
Czech Republic,2012,High level gentamicin,339,0,242,581,58.3 %,0.0 %,41.7 %
Czech Republic,2013,High level gentamicin,362,0,241,603,60.0 %,0.0 %,40.0 %
Denmark,2008,High level gentamicin,31,0,18,49,63.3 %,0.0 %,36.7 %
Denmark,2009,High level gentamicin,35,0,17,52,67.3 %,0.0 %,32.7 %
Denmark,2010,High level gentamicin,28,0,16,44,63.6 %,0.0 %,36.4 %
Denmark,2011,High level gentamicin,31,0,14,45,68.9 %,0.0 %,31.1 %
Denmark,2012,High level gentamicin,79,2,31,112,70.5 %,1.8 %,27.7 %
Denmark,2013,High level gentamicin,35,0,13,48,72.9 %,0.0 %,27.1 %
Estonia,2001,High level gentamicin,11,0,0,11,100.0 %,0.0 %,0.0 %
Estonia,2002,High level gentamicin,5,0,5,10,50.0 %,0.0 %,50.0 %
Estonia,2003,High level gentamicin,18,0,5,23,78.3 %,0.0 %,21.7 %
Estonia,2004,High level gentamicin,30,0,14,44,68.2 %,0.0 %,31.8 %
Estonia,2005,High level gentamicin,21,0,21,42,50.0 %,0.0 %,50.0 %
Estonia,2006,High level gentamicin,31,0,17,48,64.6 %,0.0 %,35.4 %
Estonia,2007,High level gentamicin,17,0,5,22,77.3 %,0.0 %,22.7 %
Estonia,2008,High level gentamicin,19,0,7,26,73.1 %,0.0 %,26.9 %
Estonia,2009,High level gentamicin,13,0,10,23,56.5 %,0.0 %,43.5 %
Estonia,2010,High level gentamicin,16,0,6,22,72.7 %,0.0 %,27.3 %
Estonia,2011,High level gentamicin,6,0,0,6,100.0 %,0.0 %,0.0 %
Estonia,2012,High level gentamicin,11,0,8,19,57.9 %,0.0 %,42.1 %
Estonia,2013,High level gentamicin,8,0,2,10,80.0 %,0.0 %,20.0 %
Finland,2001,High level gentamicin,20,0,6,26,76.9 %,0.0 %,23.1 %
Finland,2002,High level gentamicin,26,0,4,30,86.7 %,0.0 %,13.3 %
Finland,2003,High level gentamicin,49,0,31,80,61.3 %,0.0 %,38.8 %
Finland,2004,High level gentamicin,62,2,41,105,59.0 %,1.9 %,39.0 %
Finland,2005,High level gentamicin,95,3,36,134,70.9 %,2.2 %,26.9 %
Finland,2006,High level gentamicin,112,1,37,150,74.7 %,0.7 %,24.7 %
Finland,2007,High level gentamicin,129,3,37,169,76.3 %,1.8 %,21.9 %
Finland,2008,High level gentamicin,134,3,20,157,85.4 %,1.9 %,12.7 %
France,2002,High level gentamicin,114,173,52,339,33.6 %,51.0 %,15.3 %
France,2003,High level gentamicin,94,183,52,329,28.6 %,55.6 %,15.8 %
France,2004,High level gentamicin,260,160,83,503,51.7 %,31.8 %,16.5 %
France,2005,High level gentamicin,476,175,116,767,62.1 %,22.8 %,15.1 %
France,2006,High level gentamicin,555,175,138,868,63.9 %,20.2 %,15.9 %
France,2007,High level gentamicin,716,166,154,1036,69.1 %,16.0 %,14.9 %
France,2008,High level gentamicin,578,158,159,895,64.6 %,17.7 %,17.8 %
France,2009,High level gentamicin,818,247,233,1298,63.0 %,19.0 %,18.0 %
France,2010,High level gentamicin,930,229,250,1409,66.0 %,16.3 %,17.7 %
France,2011,High level gentamicin,532,232,191,955,55.7 %,24.3 %,20.0 %
