Country,Year,Antibiotic_Group,S,I,R,TotalN,pS,pI,pR
Austria,2001,Vancomycin,46,0,0,46,100.0 %,0.0 %,0.0 %
Austria,2002,Vancomycin,132,0,1,133,99.2 %,0.0 %,0.8 %
Austria,2003,Vancomycin,242,0,1,243,99.6 %,0.0 %,0.4 %
Austria,2004,Vancomycin,428,0,0,428,100.0 %,0.0 %,0.0 %
Austria,2005,Vancomycin,386,3,2,391,98.7 %,0.8 %,0.5 %
Austria,2006,Vancomycin,408,2,2,412,99.0 %,0.5 %,0.5 %
Austria,2007,Vancomycin,386,1,1,388,99.5 %,0.3 %,0.3 %
Austria,2008,Vancomycin,523,1,2,526,99.4 %,0.2 %,0.4 %
Austria,2009,Vancomycin,490,1,3,494,99.2 %,0.2 %,0.6 %
Austria,2010,Vancomycin,586,0,3,589,99.5 %,0.0 %,0.5 %
Austria,2011,Vancomycin,534,1,3,538,99.3 %,0.2 %,0.6 %
Austria,2012,Vancomycin,649,0,2,651,99.7 %,0.0 %,0.3 %
Austria,2013,Vancomycin,670,0,1,671,99.9 %,0.0 %,0.1 %
Belgium,2001,Vancomycin,34,0,0,34,100.0 %,0.0 %,0.0 %
Belgium,2002,Vancomycin,156,4,1,161,96.9 %,2.5 %,0.6 %
Belgium,2003,Vancomycin,133,0,2,135,98.5 %,0.0 %,1.5 %
Belgium,2004,Vancomycin,183,1,0,184,99.5 %,0.5 %,0.0 %
Belgium,2005,Vancomycin,176,3,0,179,98.3 %,1.7 %,0.0 %
Belgium,2006,Vancomycin,216,0,0,216,100.0 %,0.0 %,0.0 %
Belgium,2007,Vancomycin,185,10,2,197,93.9 %,5.1 %,1.0 %
Belgium,2008,Vancomycin,176,1,0,177,99.4 %,0.6 %,0.0 %
Belgium,2009,Vancomycin,155,1,2,158,98.1 %,0.6 %,1.3 %
Belgium,2010,Vancomycin,226,5,0,231,97.8 %,2.2 %,0.0 %
Belgium,2011,Vancomycin,531,2,1,534,99.4 %,0.4 %,0.2 %
Belgium,2012,Vancomycin,528,0,1,529,99.8 %,0.0 %,0.2 %
Belgium,2013,Vancomycin,495,1,2,498,99.4 %,0.2 %,0.4 %
Bulgaria,2001,Vancomycin,25,0,0,25,100.0 %,0.0 %,0.0 %
Bulgaria,2002,Vancomycin,27,1,0,28,96.4 %,3.6 %,0.0 %
Bulgaria,2003,Vancomycin,44,0,0,44,100.0 %,0.0 %,0.0 %
Bulgaria,2004,Vancomycin,50,2,1,53,94.3 %,3.8 %,1.9 %
Bulgaria,2005,Vancomycin,58,5,0,63,92.1 %,7.9 %,0.0 %
Bulgaria,2006,Vancomycin,61,0,1,62,98.4 %,0.0 %,1.6 %
Bulgaria,2007,Vancomycin,50,2,0,52,96.2 %,3.8 %,0.0 %
Bulgaria,2008,Vancomycin,38,0,0,38,100.0 %,0.0 %,0.0 %
Bulgaria,2009,Vancomycin,63,0,0,63,100.0 %,0.0 %,0.0 %
Bulgaria,2010,Vancomycin,80,0,0,80,100.0 %,0.0 %,0.0 %
Bulgaria,2011,Vancomycin,72,0,0,72,100.0 %,0.0 %,0.0 %
Bulgaria,2012,Vancomycin,81,0,0,81,100.0 %,0.0 %,0.0 %
Bulgaria,2013,Vancomycin,105,1,3,109,96.3 %,0.9 %,2.8 %
Croatia,2010,Vancomycin,123,1,0,124,99.2 %,0.8 %,0.0 %
Croatia,2011,Vancomycin,166,0,2,168,98.8 %,0.0 %,1.2 %
Croatia,2012,Vancomycin,155,0,1,156,99.4 %,0.0 %,0.6 %
Croatia,2013,Vancomycin,172,0,1,173,99.4 %,0.0 %,0.6 %
Cyprus,2003,Vancomycin,24,0,0,24,100.0 %,0.0 %,0.0 %
Cyprus,2004,Vancomycin,34,0,1,35,97.1 %,0.0 %,2.9 %
Cyprus,2005,Vancomycin,35,0,0,35,100.0 %,0.0 %,0.0 %
Cyprus,2006,Vancomycin,41,0,0,41,100.0 %,0.0 %,0.0 %
Cyprus,2007,Vancomycin,50,1,0,51,98.0 %,2.0 %,0.0 %
Cyprus,2008,Vancomycin,74,0,1,75,98.7 %,0.0 %,1.3 %
Cyprus,2009,Vancomycin,65,0,0,65,100.0 %,0.0 %,0.0 %
Cyprus,2010,Vancomycin,68,0,0,68,100.0 %,0.0 %,0.0 %
Cyprus,2011,Vancomycin,52,0,2,54,96.3 %,0.0 %,3.7 %
Cyprus,2012,Vancomycin,77,0,0,77,100.0 %,0.0 %,0.0 %
Cyprus,2013,Vancomycin,67,0,0,67,100.0 %,0.0 %,0.0 %
Czech Republic,2001,Vancomycin,381,0,6,387,98.4 %,0.0 %,1.6 %
Czech Republic,2002,Vancomycin,502,0,3,505,99.4 %,0.0 %,0.6 %
Czech Republic,2003,Vancomycin,534,0,2,536,99.6 %,0.0 %,0.4 %
Czech Republic,2004,Vancomycin,552,0,2,554,99.6 %,0.0 %,0.4 %
Czech Republic,2005,Vancomycin,547,0,0,547,100.0 %,0.0 %,0.0 %
Czech Republic,2006,Vancomycin,514,0,0,514,100.0 %,0.0 %,0.0 %
Czech Republic,2007,Vancomycin,578,0,8,586,98.6 %,0.0 %,1.4 %
Czech Republic,2008,Vancomycin,647,0,2,649,99.7 %,0.0 %,0.3 %
Czech Republic,2009,Vancomycin,623,0,3,626,99.5 %,0.0 %,0.5 %
Czech Republic,2010,Vancomycin,570,0,0,570,100.0 %,0.0 %,0.0 %
Czech Republic,2011,Vancomycin,551,0,5,556,99.1 %,0.0 %,0.9 %
Czech Republic,2012,Vancomycin,576,0,5,581,99.1 %,0.0 %,0.9 %
Czech Republic,2013,Vancomycin,578,0,25,603,95.9 %,0.0 %,4.1 %
Denmark,2006,Vancomycin,131,0,1,132,99.2 %,0.0 %,0.8 %
Denmark,2007,Vancomycin,391,0,2,393,99.5 %,0.0 %,0.5 %
Denmark,2008,Vancomycin,410,3,2,415,98.8 %,0.7 %,0.5 %
Denmark,2009,Vancomycin,503,7,1,511,98.4 %,1.4 %,0.2 %
Denmark,2010,Vancomycin,435,1,3,439,99.1 %,0.2 %,0.7 %
Denmark,2011,Vancomycin,480,1,0,481,99.8 %,0.2 %,0.0 %
Denmark,2012,Vancomycin,446,0,1,447,99.8 %,0.0 %,0.2 %
Denmark,2013,Vancomycin,464,0,0,464,100.0 %,0.0 %,0.0 %
Estonia,2001,Vancomycin,13,0,0,13,100.0 %,0.0 %,0.0 %
Estonia,2002,Vancomycin,10,0,0,10,100.0 %,0.0 %,0.0 %
Estonia,2003,Vancomycin,21,1,0,22,95.5 %,4.5 %,0.0 %
Estonia,2004,Vancomycin,40,1,0,41,97.6 %,2.4 %,0.0 %
Estonia,2005,Vancomycin,38,0,0,38,100.0 %,0.0 %,0.0 %
Estonia,2006,Vancomycin,46,0,0,46,100.0 %,0.0 %,0.0 %
Estonia,2007,Vancomycin,30,0,0,30,100.0 %,0.0 %,0.0 %
Estonia,2008,Vancomycin,47,0,0,47,100.0 %,0.0 %,0.0 %
Estonia,2009,Vancomycin,32,0,0,32,100.0 %,0.0 %,0.0 %
Estonia,2010,Vancomycin,39,1,0,40,97.5 %,2.5 %,0.0 %
Estonia,2011,Vancomycin,5,1,0,6,83.3 %,16.7 %,0.0 %
Estonia,2012,Vancomycin,36,0,0,36,100.0 %,0.0 %,0.0 %
Estonia,2013,Vancomycin,37,0,0,37,100.0 %,0.0 %,0.0 %
Finland,2001,Vancomycin,178,1,0,179,99.4 %,0.6 %,0.0 %
Finland,2002,Vancomycin,191,1,0,192,99.5 %,0.5 %,0.0 %
Finland,2003,Vancomycin,168,0,0,168,100.0 %,0.0 %,0.0 %
Finland,2004,Vancomycin,213,2,0,215,99.1 %,0.9 %,0.0 %
Finland,2005,Vancomycin,208,0,0,208,100.0 %,0.0 %,0.0 %
Finland,2006,Vancomycin,223,1,0,224,99.6 %,0.4 %,0.0 %
Finland,2007,Vancomycin,233,0,0,233,100.0 %,0.0 %,0.0 %
Finland,2008,Vancomycin,210,2,0,212,99.1 %,0.9 %,0.0 %
