Country,Year,Antibiotic_Group,S,I,R,TotalN,pS,pI,pR
Austria,2001,Aminopenicillins,3,0,18,21,14.3 %,0.0 %,85.7 %
Austria,2002,Aminopenicillins,7,0,38,45,15.6 %,0.0 %,84.4 %
Austria,2003,Aminopenicillins,12,0,66,78,15.4 %,0.0 %,84.6 %
Austria,2004,Aminopenicillins,25,0,140,165,15.2 %,0.0 %,84.8 %
Austria,2005,Aminopenicillins,26,1,147,174,14.9 %,0.6 %,84.5 %
Austria,2006,Aminopenicillins,27,0,215,242,11.2 %,0.0 %,88.8 %
Austria,2007,Aminopenicillins,48,1,223,272,17.6 %,0.4 %,82.0 %
Austria,2008,Aminopenicillins,31,0,305,336,9.2 %,0.0 %,90.8 %
Austria,2009,Aminopenicillins,37,0,270,307,12.1 %,0.0 %,87.9 %
Austria,2010,Aminopenicillins,27,0,327,354,7.6 %,0.0 %,92.4 %
Austria,2011,Aminopenicillins,32,1,312,345,9.3 %,0.3 %,90.4 %
Austria,2012,Aminopenicillins,33,0,318,351,9.4 %,0.0 %,90.6 %
Austria,2013,Aminopenicillins,31,1,375,407,7.6 %,0.2 %,92.1 %
Belgium,2001,Aminopenicillins,2,1,2,5,40.0 %,20.0 %,40.0 %
Belgium,2002,Aminopenicillins,17,0,22,39,43.6 %,0.0 %,56.4 %
Belgium,2003,Aminopenicillins,2,0,7,9,22.2 %,0.0 %,77.8 %
Belgium,2004,Aminopenicillins,15,0,26,41,36.6 %,0.0 %,63.4 %
Belgium,2005,Aminopenicillins,16,0,25,41,39.0 %,0.0 %,61.0 %
Belgium,2006,Aminopenicillins,16,0,33,49,32.7 %,0.0 %,67.3 %
Belgium,2007,Aminopenicillins,14,0,30,44,31.8 %,0.0 %,68.2 %
Belgium,2008,Aminopenicillins,14,0,44,58,24.1 %,0.0 %,75.9 %
Belgium,2009,Aminopenicillins,7,0,60,67,10.4 %,0.0 %,89.6 %
Belgium,2010,Aminopenicillins,9,1,72,82,11.0 %,1.2 %,87.8 %
Belgium,2011,Aminopenicillins,34,0,170,204,16.7 %,0.0 %,83.3 %
Belgium,2012,Aminopenicillins,43,0,153,196,21.9 %,0.0 %,78.1 %
Belgium,2013,Aminopenicillins,88,2,254,344,25.6 %,0.6 %,73.8 %
Bulgaria,2001,Aminopenicillins,2,0,2,4,50.0 %,0.0 %,50.0 %
Bulgaria,2002,Aminopenicillins,4,0,10,14,28.6 %,0.0 %,71.4 %
Bulgaria,2003,Aminopenicillins,2,0,3,5,40.0 %,0.0 %,60.0 %
Bulgaria,2004,Aminopenicillins,9,0,13,22,40.9 %,0.0 %,59.1 %
Bulgaria,2005,Aminopenicillins,1,0,25,26,3.8 %,0.0 %,96.2 %
Bulgaria,2006,Aminopenicillins,1,0,28,29,3.4 %,0.0 %,96.6 %
Bulgaria,2007,Aminopenicillins,0,0,12,12,0.0 %,0.0 %,100.0 %
Bulgaria,2008,Aminopenicillins,2,0,27,29,6.9 %,0.0 %,93.1 %
Bulgaria,2009,Aminopenicillins,1,0,27,28,3.6 %,0.0 %,96.4 %
Bulgaria,2010,Aminopenicillins,0,0,23,23,0.0 %,0.0 %,100.0 %
Bulgaria,2011,Aminopenicillins,6,0,32,38,15.8 %,0.0 %,84.2 %
Bulgaria,2012,Aminopenicillins,2,0,38,40,5.0 %,0.0 %,95.0 %
Bulgaria,2013,Aminopenicillins,5,0,38,43,11.6 %,0.0 %,88.4 %
Croatia,2010,Aminopenicillins,8,0,37,45,17.8 %,0.0 %,82.2 %
Croatia,2011,Aminopenicillins,1,0,57,58,1.7 %,0.0 %,98.3 %
Croatia,2012,Aminopenicillins,1,0,59,60,1.7 %,0.0 %,98.3 %
Croatia,2013,Aminopenicillins,8,0,66,74,10.8 %,0.0 %,89.2 %
Cyprus,2003,Aminopenicillins,0,0,4,4,0.0 %,0.0 %,100.0 %
Cyprus,2004,Aminopenicillins,0,0,3,3,0.0 %,0.0 %,100.0 %
Cyprus,2005,Aminopenicillins,1,0,4,5,20.0 %,0.0 %,80.0 %
Cyprus,2006,Aminopenicillins,4,0,3,7,57.1 %,0.0 %,42.9 %
Cyprus,2007,Aminopenicillins,1,0,11,12,8.3 %,0.0 %,91.7 %
Cyprus,2008,Aminopenicillins,4,0,6,10,40.0 %,0.0 %,60.0 %
Cyprus,2009,Aminopenicillins,3,0,12,15,20.0 %,0.0 %,80.0 %
Cyprus,2010,Aminopenicillins,5,0,18,23,21.7 %,0.0 %,78.3 %
Cyprus,2011,Aminopenicillins,3,0,14,17,17.6 %,0.0 %,82.4 %
Cyprus,2012,Aminopenicillins,7,0,22,29,24.1 %,0.0 %,75.9 %
Cyprus,2013,Aminopenicillins,3,0,26,29,10.3 %,0.0 %,89.7 %
Czech Republic,2001,Aminopenicillins,21,0,43,64,32.8 %,0.0 %,67.2 %
Czech Republic,2002,Aminopenicillins,22,0,60,82,26.8 %,0.0 %,73.2 %
Czech Republic,2003,Aminopenicillins,19,0,75,94,20.2 %,0.0 %,79.8 %
Czech Republic,2004,Aminopenicillins,20,0,86,106,18.9 %,0.0 %,81.1 %
Czech Republic,2005,Aminopenicillins,17,0,194,211,8.1 %,0.0 %,91.9 %
Czech Republic,2006,Aminopenicillins,18,0,164,182,9.9 %,0.0 %,90.1 %
Czech Republic,2007,Aminopenicillins,20,0,209,229,8.7 %,0.0 %,91.3 %
Czech Republic,2008,Aminopenicillins,14,0,220,234,6.0 %,0.0 %,94.0 %
Czech Republic,2009,Aminopenicillins,5,0,204,209,2.4 %,0.0 %,97.6 %
Czech Republic,2010,Aminopenicillins,4,1,183,188,2.1 %,0.5 %,97.3 %
Czech Republic,2011,Aminopenicillins,6,0,205,211,2.8 %,0.0 %,97.2 %
Czech Republic,2012,Aminopenicillins,6,0,256,262,2.3 %,0.0 %,97.7 %
