Country,Year,Antibiotic_Group,S,I,R,TotalN,pS,pI,pR
Austria,2001,High level gentamicin,7,0,1,8,87.5 %,0.0 %,12.5 %
Austria,2002,High level gentamicin,11,0,3,14,78.6 %,0.0 %,21.4 %
Austria,2003,High level gentamicin,17,1,5,23,73.9 %,4.3 %,21.7 %
Austria,2004,High level gentamicin,55,5,17,77,71.4 %,6.5 %,22.1 %
Austria,2005,High level gentamicin,47,0,20,67,70.1 %,0.0 %,29.9 %
Austria,2006,High level gentamicin,84,1,22,107,78.5 %,0.9 %,20.6 %
Austria,2007,High level gentamicin,80,6,34,120,66.7 %,5.0 %,28.3 %
Austria,2008,High level gentamicin,135,2,33,170,79.4 %,1.2 %,19.4 %
Austria,2009,High level gentamicin,106,4,49,159,66.7 %,2.5 %,30.8 %
Austria,2010,High level gentamicin,95,1,69,165,57.6 %,0.6 %,41.8 %
Austria,2011,High level gentamicin,102,0,97,199,51.3 %,0.0 %,48.7 %
Austria,2012,High level gentamicin,148,2,92,242,61.2 %,0.8 %,38.0 %
Austria,2013,High level gentamicin,173,0,144,317,54.6 %,0.0 %,45.4 %
Belgium,2001,High level gentamicin,4,0,0,4,100.0 %,0.0 %,0.0 %
Belgium,2002,High level gentamicin,26,10,2,38,68.4 %,26.3 %,5.3 %
Belgium,2003,High level gentamicin,6,3,0,9,66.7 %,33.3 %,0.0 %
Belgium,2004,High level gentamicin,26,6,4,36,72.2 %,16.7 %,11.1 %
Belgium,2005,High level gentamicin,23,2,7,32,71.9 %,6.3 %,21.9 %
Belgium,2006,High level gentamicin,27,7,8,42,64.3 %,16.7 %,19.0 %
Belgium,2007,High level gentamicin,21,6,8,35,60.0 %,17.1 %,22.9 %
Belgium,2008,High level gentamicin,35,10,9,54,64.8 %,18.5 %,16.7 %
Belgium,2009,High level gentamicin,40,3,20,63,63.5 %,4.8 %,31.7 %
Belgium,2010,High level gentamicin,44,5,21,70,62.9 %,7.1 %,30.0 %
Belgium,2011,High level gentamicin,82,1,40,123,66.7 %,0.8 %,32.5 %
Belgium,2012,High level gentamicin,97,1,62,160,60.6 %,0.6 %,38.8 %
Belgium,2013,High level gentamicin,115,2,48,165,69.7 %,1.2 %,29.1 %
Bulgaria,2001,High level gentamicin,2,0,1,3,66.7 %,0.0 %,33.3 %
Bulgaria,2002,High level gentamicin,2,0,10,12,16.7 %,0.0 %,83.3 %
Bulgaria,2003,High level gentamicin,2,0,3,5,40.0 %,0.0 %,60.0 %
Bulgaria,2004,High level gentamicin,8,0,13,21,38.1 %,0.0 %,61.9 %
Bulgaria,2005,High level gentamicin,7,1,10,18,38.9 %,5.6 %,55.6 %
Bulgaria,2006,High level gentamicin,5,0,19,24,20.8 %,0.0 %,79.2 %
Bulgaria,2007,High level gentamicin,3,0,9,12,25.0 %,0.0 %,75.0 %
Bulgaria,2008,High level gentamicin,4,0,21,25,16.0 %,0.0 %,84.0 %
Bulgaria,2009,High level gentamicin,7,0,13,20,35.0 %,0.0 %,65.0 %
Bulgaria,2010,High level gentamicin,4,2,15,21,19.0 %,9.5 %,71.4 %
Bulgaria,2011,High level gentamicin,7,0,27,34,20.6 %,0.0 %,79.4 %
Bulgaria,2012,High level gentamicin,12,0,29,41,29.3 %,0.0 %,70.7 %
Bulgaria,2013,High level gentamicin,10,0,33,43,23.3 %,0.0 %,76.7 %
Croatia,2010,High level gentamicin,20,0,30,50,40.0 %,0.0 %,60.0 %
Croatia,2011,High level gentamicin,17,0,29,46,37.0 %,0.0 %,63.0 %
Croatia,2012,High level gentamicin,23,0,35,58,39.7 %,0.0 %,60.3 %
Croatia,2013,High level gentamicin,32,0,41,73,43.8 %,0.0 %,56.2 %
Cyprus,2004,High level gentamicin,2,0,1,3,66.7 %,0.0 %,33.3 %
Cyprus,2005,High level gentamicin,5,0,0,5,100.0 %,0.0 %,0.0 %
Cyprus,2006,High level gentamicin,6,0,1,7,85.7 %,0.0 %,14.3 %
Cyprus,2007,High level gentamicin,8,0,4,12,66.7 %,0.0 %,33.3 %
Cyprus,2008,High level gentamicin,9,0,1,10,90.0 %,0.0 %,10.0 %
Cyprus,2009,High level gentamicin,13,0,2,15,86.7 %,0.0 %,13.3 %
Cyprus,2010,High level gentamicin,23,0,0,23,100.0 %,0.0 %,0.0 %
Cyprus,2011,High level gentamicin,16,0,1,17,94.1 %,0.0 %,5.9 %
Cyprus,2012,High level gentamicin,29,0,0,29,100.0 %,0.0 %,0.0 %
Cyprus,2013,High level gentamicin,29,0,1,30,96.7 %,0.0 %,3.3 %
Czech Republic,2001,High level gentamicin,43,0,21,64,67.2 %,0.0 %,32.8 %
Czech Republic,2002,High level gentamicin,53,0,29,82,64.6 %,0.0 %,35.4 %
Czech Republic,2003,High level gentamicin,49,0,45,94,52.1 %,0.0 %,47.9 %
Czech Republic,2004,High level gentamicin,60,0,46,106,56.6 %,0.0 %,43.4 %
Czech Republic,2005,High level gentamicin,48,0,109,157,30.6 %,0.0 %,69.4 %
Czech Republic,2006,High level gentamicin,47,0,134,181,26.0 %,0.0 %,74.0 %
Czech Republic,2007,High level gentamicin,49,0,179,228,21.5 %,0.0 %,78.5 %
Czech Republic,2008,High level gentamicin,57,0,174,231,24.7 %,0.0 %,75.3 %
Czech Republic,2009,High level gentamicin,74,0,135,209,35.4 %,0.0 %,64.6 %
