Country,Year,Antibiotic_Group,S,I,R,TotalN,pS,pI,pR
Austria,2001,Vancomycin,20,0,1,21,95.2 %,0.0 %,4.8 %
Austria,2002,Vancomycin,42,0,3,45,93.3 %,0.0 %,6.7 %
Austria,2003,Vancomycin,81,1,0,82,98.8 %,1.2 %,0.0 %
Austria,2004,Vancomycin,160,0,1,161,99.4 %,0.0 %,0.6 %
Austria,2005,Vancomycin,169,0,2,171,98.8 %,0.0 %,1.2 %
Austria,2006,Vancomycin,210,1,1,212,99.1 %,0.5 %,0.5 %
Austria,2007,Vancomycin,254,0,5,259,98.1 %,0.0 %,1.9 %
Austria,2008,Vancomycin,328,0,6,334,98.2 %,0.0 %,1.8 %
Austria,2009,Vancomycin,297,0,13,310,95.8 %,0.0 %,4.2 %
Austria,2010,Vancomycin,340,0,14,354,96.0 %,0.0 %,4.0 %
Austria,2011,Vancomycin,338,0,16,354,95.5 %,0.0 %,4.5 %
Austria,2012,Vancomycin,364,0,12,376,96.8 %,0.0 %,3.2 %
Austria,2013,Vancomycin,411,0,26,437,94.1 %,0.0 %,5.9 %
Belgium,2001,Vancomycin,5,0,0,5,100.0 %,0.0 %,0.0 %
Belgium,2002,Vancomycin,40,0,0,40,100.0 %,0.0 %,0.0 %
Belgium,2003,Vancomycin,9,0,0,9,100.0 %,0.0 %,0.0 %
Belgium,2004,Vancomycin,40,0,2,42,95.2 %,0.0 %,4.8 %
Belgium,2005,Vancomycin,37,0,6,43,86.0 %,0.0 %,14.0 %
Belgium,2006,Vancomycin,43,3,2,48,89.6 %,6.3 %,4.2 %
Belgium,2007,Vancomycin,42,0,0,42,100.0 %,0.0 %,0.0 %
Belgium,2008,Vancomycin,55,1,3,59,93.2 %,1.7 %,5.1 %
Belgium,2009,Vancomycin,64,0,3,67,95.5 %,0.0 %,4.5 %
Belgium,2010,Vancomycin,77,0,2,79,97.5 %,0.0 %,2.5 %
Belgium,2011,Vancomycin,200,0,15,215,93.0 %,0.0 %,7.0 %
Belgium,2012,Vancomycin,209,0,3,212,98.6 %,0.0 %,1.4 %
Belgium,2013,Vancomycin,231,0,4,235,98.3 %,0.0 %,1.7 %
Bulgaria,2001,Vancomycin,5,0,0,5,100.0 %,0.0 %,0.0 %
Bulgaria,2002,Vancomycin,14,0,0,14,100.0 %,0.0 %,0.0 %
Bulgaria,2003,Vancomycin,5,0,0,5,100.0 %,0.0 %,0.0 %
Bulgaria,2004,Vancomycin,21,0,0,21,100.0 %,0.0 %,0.0 %
Bulgaria,2005,Vancomycin,24,4,0,28,85.7 %,14.3 %,0.0 %
Bulgaria,2006,Vancomycin,31,0,0,31,100.0 %,0.0 %,0.0 %
Bulgaria,2007,Vancomycin,12,0,0,12,100.0 %,0.0 %,0.0 %
Bulgaria,2008,Vancomycin,28,0,0,28,100.0 %,0.0 %,0.0 %
Bulgaria,2009,Vancomycin,26,0,0,26,100.0 %,0.0 %,0.0 %
Bulgaria,2010,Vancomycin,23,0,0,23,100.0 %,0.0 %,0.0 %
Bulgaria,2011,Vancomycin,39,0,0,39,100.0 %,0.0 %,0.0 %
Bulgaria,2012,Vancomycin,42,0,0,42,100.0 %,0.0 %,0.0 %
Bulgaria,2013,Vancomycin,42,1,1,44,95.5 %,2.3 %,2.3 %
Croatia,2010,Vancomycin,44,0,5,49,89.8 %,0.0 %,10.2 %
Croatia,2011,Vancomycin,56,0,1,57,98.2 %,0.0 %,1.8 %
Croatia,2012,Vancomycin,60,0,0,60,100.0 %,0.0 %,0.0 %
Croatia,2013,Vancomycin,69,0,5,74,93.2 %,0.0 %,6.8 %
Cyprus,2003,Vancomycin,4,0,0,4,100.0 %,0.0 %,0.0 %
Cyprus,2004,Vancomycin,2,0,1,3,66.7 %,0.0 %,33.3 %
Cyprus,2005,Vancomycin,3,0,2,5,60.0 %,0.0 %,40.0 %
Cyprus,2006,Vancomycin,6,0,1,7,85.7 %,0.0 %,14.3 %
Cyprus,2007,Vancomycin,8,1,3,12,66.7 %,8.3 %,25.0 %
Cyprus,2008,Vancomycin,8,0,2,10,80.0 %,0.0 %,20.0 %
Cyprus,2009,Vancomycin,13,0,2,15,86.7 %,0.0 %,13.3 %
Cyprus,2010,Vancomycin,23,0,0,23,100.0 %,0.0 %,0.0 %
Cyprus,2011,Vancomycin,17,0,0,17,100.0 %,0.0 %,0.0 %
Cyprus,2012,Vancomycin,26,0,3,29,89.7 %,0.0 %,10.3 %
Cyprus,2013,Vancomycin,23,0,7,30,76.7 %,0.0 %,23.3 %
Czech Republic,2001,Vancomycin,61,0,1,62,98.4 %,0.0 %,1.6 %
Czech Republic,2002,Vancomycin,75,0,7,82,91.5 %,0.0 %,8.5 %
Czech Republic,2003,Vancomycin,91,0,3,94,96.8 %,0.0 %,3.2 %
Czech Republic,2004,Vancomycin,103,0,3,106,97.2 %,0.0 %,2.8 %
Czech Republic,2005,Vancomycin,182,0,29,211,86.3 %,0.0 %,13.7 %
Czech Republic,2006,Vancomycin,175,0,7,182,96.2 %,0.0 %,3.8 %
Czech Republic,2007,Vancomycin,215,0,14,229,93.9 %,0.0 %,6.1 %
Czech Republic,2008,Vancomycin,215,0,19,234,91.9 %,0.0 %,8.1 %
Czech Republic,2009,Vancomycin,197,0,12,209,94.3 %,0.0 %,5.7 %
Czech Republic,2010,Vancomycin,179,0,9,188,95.2 %,0.0 %,4.8 %
Czech Republic,2011,Vancomycin,195,0,16,211,92.4 %,0.0 %,7.6 %
Czech Republic,2012,Vancomycin,232,0,30,262,88.5 %,0.0 %,11.5 %
Czech Republic,2013,Vancomycin,244,0,24,268,91.0 %,0.0 %,9.0 %
Denmark,2006,Vancomycin,83,0,0,83,100.0 %,0.0 %,0.0 %
Denmark,2007,Vancomycin,331,0,3,334,99.1 %,0.0 %,0.9 %
Denmark,2008,Vancomycin,343,0,1,344,99.7 %,0.0 %,0.3 %
Denmark,2009,Vancomycin,342,0,6,348,98.3 %,0.0 %,1.7 %
Denmark,2010,Vancomycin,492,0,9,501,98.2 %,0.0 %,1.8 %
Denmark,2011,Vancomycin,607,0,8,615,98.7 %,0.0 %,1.3 %
Denmark,2012,Vancomycin,581,0,12,593,98.0 %,0.0 %,2.0 %
Denmark,2013,Vancomycin,622,0,22,644,96.6 %,0.0 %,3.4 %
Estonia,2001,Vancomycin,8,0,0,8,100.0 %,0.0 %,0.0 %
Estonia,2002,Vancomycin,3,0,0,3,100.0 %,0.0 %,0.0 %
Estonia,2003,Vancomycin,4,0,0,4,100.0 %,0.0 %,0.0 %
Estonia,2004,Vancomycin,18,0,0,18,100.0 %,0.0 %,0.0 %
Estonia,2005,Vancomycin,23,0,0,23,100.0 %,0.0 %,0.0 %
Estonia,2006,Vancomycin,31,0,0,31,100.0 %,0.0 %,0.0 %
Estonia,2007,Vancomycin,31,0,0,31,100.0 %,0.0 %,0.0 %
Estonia,2008,Vancomycin,38,0,1,39,97.4 %,0.0 %,2.6 %
Estonia,2009,Vancomycin,40,0,0,40,100.0 %,0.0 %,0.0 %
Estonia,2010,Vancomycin,23,0,0,23,100.0 %,0.0 %,0.0 %
Estonia,2011,Vancomycin,3,1,0,4,75.0 %,25.0 %,0.0 %
Estonia,2012,Vancomycin,40,0,0,40,100.0 %,0.0 %,0.0 %
Estonia,2013,Vancomycin,40,0,0,40,100.0 %,0.0 %,0.0 %
Finland,2001,Vancomycin,94,0,0,94,100.0 %,0.0 %,0.0 %
Finland,2002,Vancomycin,85,0,1,86,98.8 %,0.0 %,1.2 %
Finland,2003,Vancomycin,98,0,0,98,100.0 %,0.0 %,0.0 %
Finland,2004,Vancomycin,116,0,0,116,100.0 %,0.0 %,0.0 %
Finland,2005,Vancomycin,94,0,0,94,100.0 %,0.0 %,0.0 %
Finland,2006,Vancomycin,122,0,1,123,99.2 %,0.0 %,0.8 %
Finland,2007,Vancomycin,161,1,1,163,98.8 %,0.6 %,0.6 %
Finland,2008,Vancomycin,154,0,1,155,99.4 %,0.0 %,0.6 %
Finland,2009,Vancomycin,241,2,0,243,99.2 %,0.8 %,0.0 %
Finland,2010,Vancomycin,238,1,0,239,99.6 %,0.4 %,0.0 %
Finland,2011,Vancomycin,210,0,2,212,99.1 %,0.0 %,0.9 %
Finland,2012,Vancomycin,272,0,2,274,99.3 %,0.0 %,0.7 %
Finland,2013,Vancomycin,303,0,1,304,99.7 %,0.0 %,0.3 %
France,2002,Vancomycin,121,0,2,123,98.4 %,0.0 %,1.6 %
France,2003,Vancomycin,123,0,0,123,100.0 %,0.0 %,0.0 %
France,2004,Vancomycin,151,2,8,161,93.8 %,1.2 %,5.0 %
France,2005,Vancomycin,189,0,5,194,97.4 %,0.0 %,2.6 %
France,2006,Vancomycin,214,0,7,221,96.8 %,0.0 %,3.2 %
France,2007,Vancomycin,318,0,4,322,98.8 %,0.0 %,1.2 %
France,2008,Vancomycin,350,1,2,353,99.2 %,0.3 %,0.6 %
France,2009,Vancomycin,586,0,5,591,99.2 %,0.0 %,0.8 %
France,2010,Vancomycin,533,1,6,540,98.7 %,0.2 %,1.1 %
France,2011,Vancomycin,560,1,8,569,98.4 %,0.2 %,1.4 %
France,2012,Vancomycin,609,0,5,614,99.2 %,0.0 %,0.8 %
France,2013,Vancomycin,732,0,1,733,99.9 %,0.0 %,0.1 %
Germany,1999,Vancomycin,10,0,0,10,100.0 %,0.0 %,0.0 %
Germany,2000,Vancomycin,2,0,0,2,100.0 %,0.0 %,0.0 %
Germany,2001,Vancomycin,69,0,1,70,98.6 %,0.0 %,1.4 %
Germany,2002,Vancomycin,67,1,3,71,94.4 %,1.4 %,4.2 %
Germany,2003,Vancomycin,96,0,3,99,97.0 %,0.0 %,3.0 %
Germany,2004,Vancomycin,177,0,21,198,89.4 %,0.0 %,10.6 %
Germany,2005,Vancomycin,219,3,25,247,88.7 %,1.2 %,10.1 %
Germany,2006,Vancomycin,221,1,20,242,91.3 %,0.4 %,8.3 %
Germany,2007,Vancomycin,232,0,42,274,84.7 %,0.0 %,15.3 %
Germany,2008,Vancomycin,163,1,11,175,93.1 %,0.6 %,6.3 %
Germany,2009,Vancomycin,383,0,25,408,93.9 %,0.0 %,6.1 %
Germany,2010,Vancomycin,400,0,37,437,91.5 %,0.0 %,8.5 %
Germany,2011,Vancomycin,474,0,61,535,88.6 %,0.0 %,11.4 %
Germany,2012,Vancomycin,542,0,105,647,83.8 %,0.0 %,16.2 %
Germany,2013,Vancomycin,706,0,120,826,85.5 %,0.0 %,14.5 %
Greece,2000,Vancomycin,65,4,0,69,94.2 %,5.8 %,0.0 %
Greece,2001,Vancomycin,76,3,14,93,81.7 %,3.2 %,15.1 %
Greece,2002,Vancomycin,55,0,13,68,80.9 %,0.0 %,19.1 %
Greece,2003,Vancomycin,138,3,30,171,80.7 %,1.8 %,17.5 %
Greece,2004,Vancomycin,141,0,36,177,79.7 %,0.0 %,20.3 %
Greece,2005,Vancomycin,142,1,84,227,62.6 %,0.4 %,37.0 %
Greece,2006,Vancomycin,197,5,149,351,56.1 %,1.4 %,42.5 %
Greece,2007,Vancomycin,242,3,143,388,62.4 %,0.8 %,36.9 %
Greece,2008,Vancomycin,255,10,103,368,69.3 %,2.7 %,28.0 %
Greece,2009,Vancomycin,308,10,117,435,70.8 %,2.3 %,26.9 %
Greece,2010,Vancomycin,335,2,98,435,77.0 %,0.5 %,22.5 %
Greece,2011,Vancomycin,319,7,98,424,75.2 %,1.7 %,23.1 %
Greece,2012,Vancomycin,342,4,72,418,81.8 %,1.0 %,17.2 %
Greece,2013,Vancomycin,266,6,73,345,77.1 %,1.7 %,21.2 %
Hungary,2001,Vancomycin,13,0,0,13,100.0 %,0.0 %,0.0 %
Hungary,2002,Vancomycin,19,0,0,19,100.0 %,0.0 %,0.0 %
Hungary,2003,Vancomycin,45,0,0,45,100.0 %,0.0 %,0.0 %
Hungary,2004,Vancomycin,54,5,0,59,91.5 %,8.5 %,0.0 %
Hungary,2005,Vancomycin,76,0,0,76,100.0 %,0.0 %,0.0 %
Hungary,2006,Vancomycin,45,0,0,45,100.0 %,0.0 %,0.0 %
Hungary,2007,Vancomycin,59,0,0,59,100.0 %,0.0 %,0.0 %
Hungary,2008,Vancomycin,69,0,2,71,97.2 %,0.0 %,2.8 %
Hungary,2009,Vancomycin,75,0,1,76,98.7 %,0.0 %,1.3 %
Hungary,2010,Vancomycin,103,0,2,105,98.1 %,0.0 %,1.9 %
Hungary,2011,Vancomycin,119,0,1,120,99.2 %,0.0 %,0.8 %
Hungary,2012,Vancomycin,137,0,5,142,96.5 %,0.0 %,3.5 %
Hungary,2013,Vancomycin,195,0,15,210,92.9 %,0.0 %,7.1 %
Iceland,2001,Vancomycin,5,0,0,5,100.0 %,0.0 %,0.0 %
Iceland,2002,Vancomycin,7,0,0,7,100.0 %,0.0 %,0.0 %
Iceland,2003,Vancomycin,7,0,0,7,100.0 %,0.0 %,0.0 %
Iceland,2004,Vancomycin,8,0,0,8,100.0 %,0.0 %,0.0 %
Iceland,2005,Vancomycin,9,0,0,9,100.0 %,0.0 %,0.0 %
Iceland,2006,Vancomycin,7,0,0,7,100.0 %,0.0 %,0.0 %
Iceland,2007,Vancomycin,14,0,0,14,100.0 %,0.0 %,0.0 %
Iceland,2008,Vancomycin,7,0,0,7,100.0 %,0.0 %,0.0 %
Iceland,2009,Vancomycin,23,0,2,25,92.0 %,0.0 %,8.0 %
Iceland,2010,Vancomycin,15,0,1,16,93.8 %,0.0 %,6.3 %
Iceland,2011,Vancomycin,13,0,0,13,100.0 %,0.0 %,0.0 %
Iceland,2012,Vancomycin,12,0,0,12,100.0 %,0.0 %,0.0 %
Iceland,2013,Vancomycin,16,0,1,17,94.1 %,0.0 %,5.9 %
Ireland,2002,Vancomycin,72,0,9,81,88.9 %,0.0 %,11.1 %
Ireland,2003,Vancomycin,107,0,25,132,81.1 %,0.0 %,18.9 %
Ireland,2004,Vancomycin,140,1,40,181,77.3 %,0.6 %,22.1 %
Ireland,2005,Vancomycin,151,1,68,220,68.6 %,0.5 %,30.9 %
Ireland,2006,Vancomycin,164,0,94,258,63.6 %,0.0 %,36.4 %
Ireland,2007,Vancomycin,217,1,105,323,67.2 %,0.3 %,32.5 %
Ireland,2008,Vancomycin,254,1,135,390,65.1 %,0.3 %,34.6 %
Ireland,2009,Vancomycin,239,1,146,386,61.9 %,0.3 %,37.8 %
Ireland,2010,Vancomycin,233,1,148,382,61.0 %,0.3 %,38.7 %
Ireland,2011,Vancomycin,221,5,121,347,63.7 %,1.4 %,34.9 %
Ireland,2012,Vancomycin,211,5,170,386,54.7 %,1.3 %,44.0 %
Ireland,2013,Vancomycin,228,0,170,398,57.3 %,0.0 %,42.7 %
Italy,2001,Vancomycin,65,3,12,80,81.3 %,3.8 %,15.0 %
Italy,2002,Vancomycin,141,3,34,178,79.2 %,1.7 %,19.1 %
Italy,2003,Vancomycin,121,5,40,166,72.9 %,3.0 %,24.1 %
Italy,2004,Vancomycin,127,3,35,165,77.0 %,1.8 %,21.2 %
Italy,2005,Vancomycin,152,5,36,193,78.8 %,2.6 %,18.7 %
Italy,2006,Vancomycin,140,4,31,175,80.0 %,2.3 %,17.7 %
Italy,2007,Vancomycin,225,2,27,254,88.6 %,0.8 %,10.6 %
Italy,2008,Vancomycin,199,3,13,215,92.6 %,1.4 %,6.0 %
Italy,2009,Vancomycin,179,1,8,188,95.2 %,0.5 %,4.3 %
Italy,2010,Vancomycin,394,2,16,412,95.6 %,0.5 %,3.9 %
Italy,2011,Vancomycin,226,0,10,236,95.8 %,0.0 %,4.2 %
Italy,2012,Vancomycin,406,3,26,435,93.3 %,0.7 %,6.0 %
Italy,2013,Vancomycin,538,0,25,563,95.6 %,0.0 %,4.4 %
Latvia,2006,Vancomycin,19,0,0,19,100.0 %,0.0 %,0.0 %
Latvia,2007,Vancomycin,30,0,0,30,100.0 %,0.0 %,0.0 %
Latvia,2008,Vancomycin,28,0,2,30,93.3 %,0.0 %,6.7 %
Latvia,2009,Vancomycin,18,0,4,22,81.8 %,0.0 %,18.2 %
Latvia,2010,Vancomycin,20,0,3,23,87.0 %,0.0 %,13.0 %
Latvia,2011,Vancomycin,20,0,2,22,90.9 %,0.0 %,9.1 %
Latvia,2012,Vancomycin,17,0,1,18,94.4 %,0.0 %,5.6 %
Latvia,2013,Vancomycin,22,0,3,25,88.0 %,0.0 %,12.0 %
Lithuania,2006,Vancomycin,8,0,0,8,100.0 %,0.0 %,0.0 %
Lithuania,2007,Vancomycin,18,0,0,18,100.0 %,0.0 %,0.0 %
Lithuania,2008,Vancomycin,24,0,0,24,100.0 %,0.0 %,0.0 %
Lithuania,2009,Vancomycin,17,0,2,19,89.5 %,0.0 %,10.5 %
Lithuania,2010,Vancomycin,22,0,2,24,91.7 %,0.0 %,8.3 %
Lithuania,2011,Vancomycin,24,0,2,26,92.3 %,0.0 %,7.7 %
Lithuania,2012,Vancomycin,35,0,2,37,94.6 %,0.0 %,5.4 %
Lithuania,2013,Vancomycin,25,0,0,25,100.0 %,0.0 %,0.0 %
Luxembourg,2001,Vancomycin,1,0,0,1,100.0 %,0.0 %,0.0 %
Luxembourg,2002,Vancomycin,8,0,0,8,100.0 %,0.0 %,0.0 %
Luxembourg,2003,Vancomycin,3,0,0,3,100.0 %,0.0 %,0.0 %
Luxembourg,2004,Vancomycin,4,0,0,4,100.0 %,0.0 %,0.0 %
Luxembourg,2005,Vancomycin,14,0,0,14,100.0 %,0.0 %,0.0 %
Luxembourg,2006,Vancomycin,12,0,0,12,100.0 %,0.0 %,0.0 %
Luxembourg,2007,Vancomycin,12,0,0,12,100.0 %,0.0 %,0.0 %
Luxembourg,2008,Vancomycin,21,0,1,22,95.5 %,0.0 %,4.5 %
Luxembourg,2009,Vancomycin,9,0,5,14,64.3 %,0.0 %,35.7 %
Luxembourg,2010,Vancomycin,15,0,7,22,68.2 %,0.0 %,31.8 %
Luxembourg,2011,Vancomycin,23,0,1,24,95.8 %,0.0 %,4.2 %
Luxembourg,2012,Vancomycin,20,0,0,20,100.0 %,0.0 %,0.0 %
Luxembourg,2013,Vancomycin,18,0,1,19,94.7 %,0.0 %,5.3 %
Malta,2001,Vancomycin,1,0,0,1,100.0 %,0.0 %,0.0 %
Malta,2002,Vancomycin,3,0,0,3,100.0 %,0.0 %,0.0 %
Malta,2003,Vancomycin,6,0,0,6,100.0 %,0.0 %,0.0 %
Malta,2004,Vancomycin,7,0,0,7,100.0 %,0.0 %,0.0 %
Malta,2005,Vancomycin,5,0,0,5,100.0 %,0.0 %,0.0 %
Malta,2006,Vancomycin,8,0,0,8,100.0 %,0.0 %,0.0 %
Malta,2007,Vancomycin,6,0,0,6,100.0 %,0.0 %,0.0 %
Malta,2008,Vancomycin,5,0,0,5,100.0 %,0.0 %,0.0 %
Malta,2009,Vancomycin,6,0,0,6,100.0 %,0.0 %,0.0 %
Malta,2010,Vancomycin,12,0,0,12,100.0 %,0.0 %,0.0 %
Malta,2011,Vancomycin,14,0,0,14,100.0 %,0.0 %,0.0 %
Malta,2012,Vancomycin,6,0,0,6,100.0 %,0.0 %,0.0 %
Malta,2013,Vancomycin,10,0,0,10,100.0 %,0.0 %,0.0 %
Netherlands,2000,Vancomycin,3,0,0,3,100.0 %,0.0 %,0.0 %
Netherlands,2001,Vancomycin,49,2,1,52,94.2 %,3.8 %,1.9 %
Netherlands,2002,Vancomycin,179,1,3,183,97.8 %,0.5 %,1.6 %
Netherlands,2003,Vancomycin,198,5,2,205,96.6 %,2.4 %,1.0 %
Netherlands,2004,Vancomycin,186,6,0,192,96.9 %,3.1 %,0.0 %
Netherlands,2005,Vancomycin,186,1,1,188,98.9 %,0.5 %,0.5 %
Netherlands,2006,Vancomycin,286,0,2,288,99.3 %,0.0 %,0.7 %
Netherlands,2007,Vancomycin,326,1,1,328,99.4 %,0.3 %,0.3 %
Netherlands,2008,Vancomycin,165,0,0,165,100.0 %,0.0 %,0.0 %
Netherlands,2009,Vancomycin,205,0,2,207,99.0 %,0.0 %,1.0 %
Netherlands,2010,Vancomycin,362,1,2,365,99.2 %,0.3 %,0.5 %
Netherlands,2011,Vancomycin,476,0,5,481,99.0 %,0.0 %,1.0 %
Netherlands,2012,Vancomycin,483,1,0,484,99.8 %,0.2 %,0.0 %
Netherlands,2013,Vancomycin,437,0,2,439,99.5 %,0.0 %,0.5 %
Norway,1999,Vancomycin,13,0,0,13,100.0 %,0.0 %,0.0 %
Norway,2000,Vancomycin,11,0,0,11,100.0 %,0.0 %,0.0 %
Norway,2001,Vancomycin,20,1,0,21,95.2 %,4.8 %,0.0 %
Norway,2002,Vancomycin,28,1,0,29,96.6 %,3.4 %,0.0 %
Norway,2003,Vancomycin,30,0,0,30,100.0 %,0.0 %,0.0 %
Norway,2004,Vancomycin,31,0,0,31,100.0 %,0.0 %,0.0 %
Norway,2005,Vancomycin,62,0,0,62,100.0 %,0.0 %,0.0 %
Norway,2006,Vancomycin,68,0,0,68,100.0 %,0.0 %,0.0 %
Norway,2007,Vancomycin,97,0,0,97,100.0 %,0.0 %,0.0 %
Norway,2008,Vancomycin,110,0,0,110,100.0 %,0.0 %,0.0 %
Norway,2009,Vancomycin,101,0,0,101,100.0 %,0.0 %,0.0 %
Norway,2010,Vancomycin,133,0,2,135,98.5 %,0.0 %,1.5 %
Norway,2011,Vancomycin,162,0,3,165,98.2 %,0.0 %,1.8 %
Norway,2012,Vancomycin,167,0,1,168,99.4 %,0.0 %,0.6 %
Norway,2013,Vancomycin,206,0,5,211,97.6 %,0.0 %,2.4 %
Poland,2001,Vancomycin,14,1,0,15,93.3 %,6.7 %,0.0 %
Poland,2002,Vancomycin,15,0,0,15,100.0 %,0.0 %,0.0 %
Poland,2003,Vancomycin,22,0,0,22,100.0 %,0.0 %,0.0 %
Poland,2004,Vancomycin,7,0,0,7,100.0 %,0.0 %,0.0 %
Poland,2005,Vancomycin,20,0,1,21,95.2 %,0.0 %,4.8 %
Poland,2006,Vancomycin,20,0,0,20,100.0 %,0.0 %,0.0 %
Poland,2007,Vancomycin,25,0,0,25,100.0 %,0.0 %,0.0 %
Poland,2008,Vancomycin,9,0,0,9,100.0 %,0.0 %,0.0 %
Poland,2009,Vancomycin,79,5,1,85,92.9 %,5.9 %,1.2 %
Poland,2010,Vancomycin,93,1,8,102,91.2 %,1.0 %,7.8 %
Poland,2011,Vancomycin,185,0,17,202,91.6 %,0.0 %,8.4 %
Poland,2012,Vancomycin,144,0,13,157,91.7 %,0.0 %,8.3 %
Poland,2013,Vancomycin,151,0,22,173,87.3 %,0.0 %,12.7 %
Portugal,2001,Vancomycin,26,1,7,34,76.5 %,2.9 %,20.6 %
Portugal,2002,Vancomycin,13,0,0,13,100.0 %,0.0 %,0.0 %
Portugal,2003,Vancomycin,52,3,48,103,50.5 %,2.9 %,46.6 %
Portugal,2004,Vancomycin,60,0,44,104,57.7 %,0.0 %,42.3 %
Portugal,2005,Vancomycin,63,0,32,95,66.3 %,0.0 %,33.7 %
Portugal,2006,Vancomycin,100,1,35,136,73.5 %,0.7 %,25.7 %
Portugal,2007,Vancomycin,111,1,46,158,70.3 %,0.6 %,29.1 %
Portugal,2008,Vancomycin,134,1,42,177,75.7 %,0.6 %,23.7 %
Portugal,2009,Vancomycin,168,0,49,217,77.4 %,0.0 %,22.6 %
Portugal,2010,Vancomycin,144,0,44,188,76.6 %,0.0 %,23.4 %
Portugal,2011,Vancomycin,162,4,42,208,77.9 %,1.9 %,20.2 %
Portugal,2012,Vancomycin,197,0,60,257,76.7 %,0.0 %,23.3 %
Portugal,2013,Vancomycin,273,0,77,350,78.0 %,0.0 %,22.0 %
Romania,2002,Vancomycin,5,0,1,6,83.3 %,0.0 %,16.7 %
Romania,2003,Vancomycin,8,0,0,8,100.0 %,0.0 %,0.0 %
Romania,2004,Vancomycin,2,0,0,2,100.0 %,0.0 %,0.0 %
Romania,2005,Vancomycin,10,0,0,10,100.0 %,0.0 %,0.0 %
Romania,2006,Vancomycin,15,0,0,15,100.0 %,0.0 %,0.0 %
Romania,2007,Vancomycin,9,0,0,9,100.0 %,0.0 %,0.0 %
Romania,2008,Vancomycin,6,0,0,6,100.0 %,0.0 %,0.0 %
Romania,2009,Vancomycin,7,0,0,7,100.0 %,0.0 %,0.0 %
Romania,2010,Vancomycin,10,0,0,10,100.0 %,0.0 %,0.0 %
Romania,2011,Vancomycin,12,0,0,12,100.0 %,0.0 %,0.0 %
Romania,2012,Vancomycin,33,0,1,34,97.1 %,0.0 %,2.9 %
Romania,2013,Vancomycin,48,0,6,54,88.9 %,0.0 %,11.1 %
Slovakia,2001,Vancomycin,3,0,0,3,100.0 %,0.0 %,0.0 %
Slovakia,2002,Vancomycin,4,0,0,4,100.0 %,0.0 %,0.0 %
Slovakia,2003,Vancomycin,12,0,0,12,100.0 %,0.0 %,0.0 %
Slovakia,2004,Vancomycin,10,0,1,11,90.9 %,0.0 %,9.1 %
Slovakia,2005,Vancomycin,3,0,0,3,100.0 %,0.0 %,0.0 %
