Country,Year,Antibiotic_Group,S,I,R,TotalN,pS,pI,pR
Austria,2001,3rd gen. cephalosporins,256,1,0,257,99.6 %,0.4 %,0.0 %
Austria,2002,3rd gen. cephalosporins,471,0,6,477,98.7 %,0.0 %,1.3 %
Austria,2003,3rd gen. cephalosporins,959,0,18,977,98.2 %,0.0 %,1.8 %
Austria,2004,3rd gen. cephalosporins,1803,6,47,1856,97.1 %,0.3 %,2.5 %
Austria,2005,3rd gen. cephalosporins,1958,2,86,2046,95.7 %,0.1 %,4.2 %
Austria,2006,3rd gen. cephalosporins,2307,0,164,2471,93.4 %,0.0 %,6.6 %
Austria,2007,3rd gen. cephalosporins,2292,9,224,2525,90.8 %,0.4 %,8.9 %
Austria,2008,3rd gen. cephalosporins,2740,8,220,2968,92.3 %,0.3 %,7.4 %
Austria,2009,3rd gen. cephalosporins,2397,4,196,2597,92.3 %,0.2 %,7.5 %
Austria,2010,3rd gen. cephalosporins,2705,5,212,2922,92.6 %,0.2 %,7.3 %
Austria,2011,3rd gen. cephalosporins,2861,10,289,3160,90.5 %,0.3 %,9.1 %
Austria,2012,3rd gen. cephalosporins,3371,18,321,3710,90.9 %,0.5 %,8.7 %
Austria,2013,3rd gen. cephalosporins,3924,21,431,4376,89.7 %,0.5 %,9.8 %
Belgium,2001,3rd gen. cephalosporins,217,1,4,222,97.7 %,0.5 %,1.8 %
Belgium,2002,3rd gen. cephalosporins,1144,4,33,1181,96.9 %,0.3 %,2.8 %
Belgium,2003,3rd gen. cephalosporins,1262,8,46,1316,95.9 %,0.6 %,3.5 %
Belgium,2004,3rd gen. cephalosporins,1539,6,42,1587,97.0 %,0.4 %,2.6 %
Belgium,2005,3rd gen. cephalosporins,1512,8,57,1577,95.9 %,0.5 %,3.6 %
Belgium,2006,3rd gen. cephalosporins,1556,12,47,1615,96.3 %,0.7 %,2.9 %
Belgium,2007,3rd gen. cephalosporins,1379,15,57,1451,95.0 %,1.0 %,3.9 %
Belgium,2008,3rd gen. cephalosporins,1335,15,59,1409,94.7 %,1.1 %,4.2 %
Belgium,2009,3rd gen. cephalosporins,1467,26,103,1596,91.9 %,1.6 %,6.5 %
Belgium,2010,3rd gen. cephalosporins,1842,9,101,1952,94.4 %,0.5 %,5.2 %
Belgium,2011,3rd gen. cephalosporins,3707,37,241,3985,93.0 %,0.9 %,6.0 %
Belgium,2012,3rd gen. cephalosporins,3772,43,282,4097,92.1 %,1.0 %,6.9 %
Belgium,2013,3rd gen. cephalosporins,3685,42,324,4051,91.0 %,1.0 %,8.0 %
