Country,Year,Antibiotic_Group,S,I,R,TotalN,pS,pI,pR
Austria,2001,Aminoglycosides,255,1,4,260,98.1 %,0.4 %,1.5 %
Austria,2002,Aminoglycosides,460,0,18,478,96.2 %,0.0 %,3.8 %
Austria,2003,Aminoglycosides,926,11,47,984,94.1 %,1.1 %,4.8 %
Austria,2004,Aminoglycosides,1722,11,101,1834,93.9 %,0.6 %,5.5 %
Austria,2005,Aminoglycosides,1927,13,113,2053,93.9 %,0.6 %,5.5 %
Austria,2006,Aminoglycosides,2250,22,202,2474,90.9 %,0.9 %,8.2 %
Austria,2007,Aminoglycosides,2321,24,196,2541,91.3 %,0.9 %,7.7 %
Austria,2008,Aminoglycosides,2743,36,206,2985,91.9 %,1.2 %,6.9 %
Austria,2009,Aminoglycosides,2445,15,159,2619,93.4 %,0.6 %,6.1 %
Austria,2010,Aminoglycosides,2708,18,189,2915,92.9 %,0.6 %,6.5 %
Austria,2011,Aminoglycosides,2879,31,234,3144,91.6 %,1.0 %,7.4 %
Austria,2012,Aminoglycosides,3408,64,241,3713,91.8 %,1.7 %,6.5 %
Austria,2013,Aminoglycosides,3992,60,317,4369,91.4 %,1.4 %,7.3 %
Belgium,2001,Aminoglycosides,133,2,6,141,94.3 %,1.4 %,4.3 %
Belgium,2002,Aminoglycosides,796,2,48,846,94.1 %,0.2 %,5.7 %
Belgium,2003,Aminoglycosides,1030,12,51,1093,94.2 %,1.1 %,4.7 %
Belgium,2004,Aminoglycosides,1176,23,57,1256,93.6 %,1.8 %,4.5 %
Belgium,2005,Aminoglycosides,1216,5,53,1274,95.4 %,0.4 %,4.2 %
Belgium,2006,Aminoglycosides,1036,11,65,1112,93.2 %,1.0 %,5.8 %
Belgium,2007,Aminoglycosides,1033,4,54,1091,94.7 %,0.4 %,4.9 %
Belgium,2008,Aminoglycosides,965,2,44,1011,95.5 %,0.2 %,4.4 %
Belgium,2009,Aminoglycosides,1098,10,87,1195,91.9 %,0.8 %,7.3 %
Belgium,2010,Aminoglycosides,1443,52,89,1584,91.1 %,3.3 %,5.6 %
Belgium,2011,Aminoglycosides,3435,38,358,3831,89.7 %,1.0 %,9.3 %
Belgium,2012,Aminoglycosides,3427,43,219,3689,92.9 %,1.2 %,5.9 %
Belgium,2013,Aminoglycosides,3792,51,250,4093,92.6 %,1.2 %,6.1 %
Bulgaria,2001,Aminoglycosides,83,0,15,98,84.7 %,0.0 %,15.3 %
Bulgaria,2002,Aminoglycosides,112,0,23,135,83.0 %,0.0 %,17.0 %
Bulgaria,2003,Aminoglycosides,121,2,35,158,76.6 %,1.3 %,22.2 %
Bulgaria,2004,Aminoglycosides,131,1,33,165,79.4 %,0.6 %,20.0 %
Bulgaria,2005,Aminoglycosides,151,4,48,203,74.4 %,2.0 %,23.6 %
Bulgaria,2006,Aminoglycosides,138,1,55,194,71.1 %,0.5 %,28.4 %
Bulgaria,2007,Aminoglycosides,102,0,25,127,80.3 %,0.0 %,19.7 %
Bulgaria,2008,Aminoglycosides,102,0,45,147,69.4 %,0.0 %,30.6 %
Bulgaria,2009,Aminoglycosides,159,0,35,194,82.0 %,0.0 %,18.0 %
Bulgaria,2010,Aminoglycosides,126,2,24,152,82.9 %,1.3 %,15.8 %
Bulgaria,2011,Aminoglycosides,145,3,31,179,81.0 %,1.7 %,17.3 %
Bulgaria,2012,Aminoglycosides,160,4,59,223,71.7 %,1.8 %,26.5 %
Bulgaria,2013,Aminoglycosides,120,7,60,187,64.2 %,3.7 %,32.1 %
Croatia,2010,Aminoglycosides,815,8,59,882,92.4 %,0.9 %,6.7 %
Croatia,2011,Aminoglycosides,883,22,74,979,90.2 %,2.2 %,7.6 %
Croatia,2012,Aminoglycosides,812,29,64,905,89.7 %,3.2 %,7.1 %
Croatia,2013,Aminoglycosides,942,5,81,1028,91.6 %,0.5 %,7.9 %
Cyprus,2003,Aminoglycosides,17,0,2,19,89.5 %,0.0 %,10.5 %
Cyprus,2004,Aminoglycosides,41,0,5,46,89.1 %,0.0 %,10.9 %
Cyprus,2005,Aminoglycosides,63,2,10,75,84.0 %,2.7 %,13.3 %
Cyprus,2006,Aminoglycosides,81,0,9,90,90.0 %,0.0 %,10.0 %
Cyprus,2007,Aminoglycosides,97,0,12,109,89.0 %,0.0 %,11.0 %
Cyprus,2008,Aminoglycosides,106,1,12,119,89.1 %,0.8 %,10.1 %
Cyprus,2009,Aminoglycosides,122,1,13,136,89.7 %,0.7 %,9.6 %
Cyprus,2010,Aminoglycosides,115,1,22,138,83.3 %,0.7 %,15.9 %
Cyprus,2011,Aminoglycosides,104,1,33,138,75.4 %,0.7 %,23.9 %
Cyprus,2012,Aminoglycosides,138,1,37,176,78.4 %,0.6 %,21.0 %
Cyprus,2013,Aminoglycosides,120,2,40,162,74.1 %,1.2 %,24.7 %
Czech Republic,2001,Aminoglycosides,1106,0,70,1176,94.0 %,0.0 %,6.0 %
Czech Republic,2002,Aminoglycosides,1493,0,94,1587,94.1 %,0.0 %,5.9 %
Czech Republic,2003,Aminoglycosides,1671,0,94,1765,94.7 %,0.0 %,5.3 %
Czech Republic,2004,Aminoglycosides,1868,0,98,1966,95.0 %,0.0 %,5.0 %
Czech Republic,2005,Aminoglycosides,2095,0,139,2234,93.8 %,0.0 %,6.2 %
Czech Republic,2006,Aminoglycosides,1975,0,178,2153,91.7 %,0.0 %,8.3 %
Czech Republic,2007,Aminoglycosides,2234,0,173,2407,92.8 %,0.0 %,7.2 %
Czech Republic,2008,Aminoglycosides,2501,0,237,2738,91.3 %,0.0 %,8.7 %
Czech Republic,2009,Aminoglycosides,2495,0,247,2742,91.0 %,0.0 %,9.0 %
Czech Republic,2010,Aminoglycosides,2241,0,208,2449,91.5 %,0.0 %,8.5 %
Czech Republic,2011,Aminoglycosides,2439,0,235,2674,91.2 %,0.0 %,8.8 %
Czech Republic,2012,Aminoglycosides,2464,111,237,2812,87.6 %,3.9 %,8.4 %
Czech Republic,2013,Aminoglycosides,2615,73,269,2957,88.4 %,2.5 %,9.1 %
Denmark,2005,Aminoglycosides,1253,5,25,1283,97.7 %,0.4 %,1.9 %
Denmark,2006,Aminoglycosides,2632,9,81,2722,96.7 %,0.3 %,3.0 %
Denmark,2007,Aminoglycosides,2891,20,108,3019,95.8 %,0.7 %,3.6 %
Denmark,2008,Aminoglycosides,3128,16,134,3278,95.4 %,0.5 %,4.1 %
Denmark,2009,Aminoglycosides,3352,22,156,3530,95.0 %,0.6 %,4.4 %
Denmark,2010,Aminoglycosides,3189,24,199,3412,93.5 %,0.7 %,5.8 %
Denmark,2011,Aminoglycosides,3399,6,233,3638,93.4 %,0.2 %,6.4 %
Denmark,2012,Aminoglycosides,3403,15,269,3687,92.3 %,0.4 %,7.3 %
Denmark,2013,Aminoglycosides,3627,7,253,3887,93.3 %,0.2 %,6.5 %
Estonia,2000,Aminoglycosides,1,0,0,1,100.0 %,0.0 %,0.0 %
Estonia,2001,Aminoglycosides,47,1,4,52,90.4 %,1.9 %,7.7 %
Estonia,2002,Aminoglycosides,58,2,7,67,86.6 %,3.0 %,10.4 %
Estonia,2003,Aminoglycosides,92,3,3,98,93.9 %,3.1 %,3.1 %
Estonia,2004,Aminoglycosides,156,7,3,166,94.0 %,4.2 %,1.8 %
Estonia,2005,Aminoglycosides,146,4,6,156,93.6 %,2.6 %,3.8 %
Estonia,2006,Aminoglycosides,206,4,5,215,95.8 %,1.9 %,2.3 %
Estonia,2007,Aminoglycosides,201,3,12,216,93.1 %,1.4 %,5.6 %
Estonia,2008,Aminoglycosides,244,4,14,262,93.1 %,1.5 %,5.3 %
Estonia,2009,Aminoglycosides,305,3,12,320,95.3 %,0.9 %,3.8 %
Estonia,2010,Aminoglycosides,251,3,15,269,93.3 %,1.1 %,5.6 %
Estonia,2011,Aminoglycosides,294,5,15,314,93.6 %,1.6 %,4.8 %
Estonia,2012,Aminoglycosides,277,6,23,306,90.5 %,2.0 %,7.5 %
Estonia,2013,Aminoglycosides,308,7,26,341,90.3 %,2.1 %,7.6 %
Finland,2001,Aminoglycosides,1117,2,2,1121,99.6 %,0.2 %,0.2 %
Finland,2002,Aminoglycosides,1179,5,10,1194,98.7 %,0.4 %,0.8 %
Finland,2003,Aminoglycosides,1202,1,15,1218,98.7 %,0.1 %,1.2 %
Finland,2004,Aminoglycosides,1555,7,37,1599,97.2 %,0.4 %,2.3 %
Finland,2005,Aminoglycosides,1712,11,37,1760,97.3 %,0.6 %,2.1 %
Finland,2006,Aminoglycosides,1748,8,39,1795,97.4 %,0.4 %,2.2 %
Finland,2007,Aminoglycosides,1795,13,51,1859,96.6 %,0.7 %,2.7 %
Finland,2008,Aminoglycosides,1971,12,74,2057,95.8 %,0.6 %,3.6 %
Finland,2009,Aminoglycosides,1959,17,57,2033,96.4 %,0.8 %,2.8 %
Finland,2010,Aminoglycosides,2238,29,89,2356,95.0 %,1.2 %,3.8 %
Finland,2011,Aminoglycosides,2742,121,157,3020,90.8 %,4.0 %,5.2 %
Finland,2012,Aminoglycosides,2731,80,182,2993,91.2 %,2.7 %,6.1 %
Finland,2013,Aminoglycosides,3242,88,231,3561,91.0 %,2.5 %,6.5 %
France,2002,Aminoglycosides,2365,24,106,2495,94.8 %,1.0 %,4.2 %
France,2003,Aminoglycosides,2126,22,118,2266,93.8 %,1.0 %,5.2 %
France,2004,Aminoglycosides,5403,38,234,5675,95.2 %,0.7 %,4.1 %
France,2005,Aminoglycosides,5646,117,293,6056,93.2 %,1.9 %,4.8 %
France,2006,Aminoglycosides,6138,169,407,6714,91.4 %,2.5 %,6.1 %
France,2007,Aminoglycosides,7525,84,469,8078,93.2 %,1.0 %,5.8 %
France,2008,Aminoglycosides,7023,89,497,7609,92.3 %,1.2 %,6.5 %
France,2009,Aminoglycosides,7655,98,695,8448,90.6 %,1.2 %,8.2 %
France,2010,Aminoglycosides,8252,127,646,9025,91.4 %,1.4 %,7.2 %
France,2011,Aminoglycosides,7970,83,689,8742,91.2 %,0.9 %,7.9 %
France,2012,Aminoglycosides,5223,58,469,5750,90.8 %,1.0 %,8.2 %
France,2013,Aminoglycosides,9227,138,791,10156,90.9 %,1.4 %,7.8 %
Germany,1999,Aminoglycosides,150,8,8,166,90.4 %,4.8 %,4.8 %
Germany,2000,Aminoglycosides,150,18,12,180,83.3 %,10.0 %,6.7 %
Germany,2001,Aminoglycosides,1117,76,62,1255,89.0 %,6.1 %,4.9 %
Germany,2002,Aminoglycosides,859,152,54,1065,80.7 %,14.3 %,5.1 %
Germany,2003,Aminoglycosides,874,64,52,990,88.3 %,6.5 %,5.3 %
Germany,2004,Aminoglycosides,1033,129,52,1214,85.1 %,10.6 %,4.3 %
Germany,2005,Aminoglycosides,792,110,57,959,82.6 %,11.5 %,5.9 %
Germany,2006,Aminoglycosides,712,54,84,850,83.8 %,6.4 %,9.9 %
Germany,2007,Aminoglycosides,866,50,59,975,88.8 %,5.1 %,6.1 %
Germany,2008,Aminoglycosides,1458,46,111,1615,90.3 %,2.8 %,6.9 %
Germany,2009,Aminoglycosides,2517,44,235,2796,90.0 %,1.6 %,8.4 %
Germany,2010,Aminoglycosides,2712,46,263,3021,89.8 %,1.5 %,8.7 %
Germany,2011,Aminoglycosides,3341,27,277,3645,91.7 %,0.7 %,7.6 %
Germany,2012,Aminoglycosides,3882,12,296,4190,92.6 %,0.3 %,7.1 %
Germany,2013,Aminoglycosides,4872,12,369,5253,92.7 %,0.2 %,7.0 %
Greece,2000,Aminoglycosides,340,5,16,361,94.2 %,1.4 %,4.4 %
Greece,2001,Aminoglycosides,558,6,28,592,94.3 %,1.0 %,4.7 %
Greece,2002,Aminoglycosides,536,9,40,585,91.6 %,1.5 %,6.8 %
Greece,2003,Aminoglycosides,996,18,62,1076,92.6 %,1.7 %,5.8 %
Greece,2004,Aminoglycosides,1054,11,65,1130,93.3 %,1.0 %,5.8 %
Greece,2005,Aminoglycosides,1045,14,81,1140,91.7 %,1.2 %,7.1 %
Greece,2006,Aminoglycosides,1158,7,88,1253,92.4 %,0.6 %,7.0 %
Greece,2007,Aminoglycosides,1119,9,106,1234,90.7 %,0.7 %,8.6 %
Greece,2008,Aminoglycosides,1219,17,215,1451,84.0 %,1.2 %,14.8 %
Greece,2009,Aminoglycosides,1539,24,265,1828,84.2 %,1.3 %,14.5 %
Greece,2010,Aminoglycosides,1261,17,252,1530,82.4 %,1.1 %,16.5 %
Greece,2011,Aminoglycosides,1181,12,241,1434,82.4 %,0.8 %,16.8 %
Greece,2012,Aminoglycosides,1107,19,246,1372,80.7 %,1.4 %,17.9 %
Greece,2013,Aminoglycosides,1010,19,211,1240,81.5 %,1.5 %,17.0 %
Hungary,2001,Aminoglycosides,233,11,10,254,91.7 %,4.3 %,3.9 %
Hungary,2002,Aminoglycosides,314,14,21,349,90.0 %,4.0 %,6.0 %
Hungary,2003,Aminoglycosides,752,23,65,840,89.5 %,2.7 %,7.7 %
Hungary,2004,Aminoglycosides,844,29,94,967,87.3 %,3.0 %,9.7 %
Hungary,2005,Aminoglycosides,903,47,95,1045,86.4 %,4.5 %,9.1 %
Hungary,2006,Aminoglycosides,963,27,140,1130,85.2 %,2.4 %,12.4 %
Hungary,2007,Aminoglycosides,1006,42,129,1177,85.5 %,3.6 %,11.0 %
Hungary,2008,Aminoglycosides,893,21,140,1054,84.7 %,2.0 %,13.3 %
Hungary,2009,Aminoglycosides,874,14,168,1056,82.8 %,1.3 %,15.9 %
Hungary,2010,Aminoglycosides,1059,31,294,1384,76.5 %,2.2 %,21.2 %
Hungary,2011,Aminoglycosides,1020,24,182,1226,83.2 %,2.0 %,14.8 %
Hungary,2012,Aminoglycosides,1146,21,242,1409,81.3 %,1.5 %,17.2 %
Hungary,2013,Aminoglycosides,1164,23,244,1431,81.3 %,1.6 %,17.1 %
Iceland,2001,Aminoglycosides,82,0,3,85,96.5 %,0.0 %,3.5 %
Iceland,2002,Aminoglycosides,81,0,1,82,98.8 %,0.0 %,1.2 %
Iceland,2003,Aminoglycosides,96,0,2,98,98.0 %,0.0 %,2.0 %
Iceland,2004,Aminoglycosides,117,0,1,118,99.2 %,0.0 %,0.8 %
Iceland,2005,Aminoglycosides,129,0,1,130,99.2 %,0.0 %,0.8 %
Iceland,2006,Aminoglycosides,121,0,9,130,93.1 %,0.0 %,6.9 %
Iceland,2007,Aminoglycosides,99,0,6,105,94.3 %,0.0 %,5.7 %
Iceland,2008,Aminoglycosides,115,0,8,123,93.5 %,0.0 %,6.5 %
Iceland,2009,Aminoglycosides,102,0,8,110,92.7 %,0.0 %,7.3 %
Iceland,2010,Aminoglycosides,101,0,3,104,97.1 %,0.0 %,2.9 %
Iceland,2011,Aminoglycosides,121,0,8,129,93.8 %,0.0 %,6.2 %
Iceland,2012,Aminoglycosides,133,0,5,138,96.4 %,0.0 %,3.6 %
Iceland,2013,Aminoglycosides,116,0,5,121,95.9 %,0.0 %,4.1 %
Ireland,2002,Aminoglycosides,709,1,19,729,97.3 %,0.1 %,2.6 %
Ireland,2003,Aminoglycosides,927,3,38,968,95.8 %,0.3 %,3.9 %
