Country,Year,Antibiotic_Group,S,I,R,TotalN,pS,pI,pR
Austria,2001,Carbapenems,33,0,0,33,100.0 %,0.0 %,0.0 %
Austria,2002,Carbapenems,234,0,0,234,100.0 %,0.0 %,0.0 %
Austria,2003,Carbapenems,662,0,1,663,99.8 %,0.0 %,0.2 %
Austria,2004,Carbapenems,1256,1,3,1260,99.7 %,0.1 %,0.2 %
Austria,2005,Carbapenems,1419,1,3,1423,99.7 %,0.1 %,0.2 %
Austria,2006,Carbapenems,1756,0,5,1761,99.7 %,0.0 %,0.3 %
Austria,2007,Carbapenems,2058,1,4,2063,99.8 %,0.0 %,0.2 %
Austria,2008,Carbapenems,2403,2,4,2409,99.8 %,0.1 %,0.2 %
Austria,2009,Carbapenems,2102,0,3,2105,99.9 %,0.0 %,0.1 %
Austria,2010,Carbapenems,2463,1,1,2465,99.9 %,0.0 %,0.0 %
Austria,2011,Carbapenems,2710,1,1,2712,99.9 %,0.0 %,0.0 %
Austria,2012,Carbapenems,3337,1,2,3340,99.9 %,0.0 %,0.1 %
Austria,2013,Carbapenems,4256,0,1,4257,100.0 %,0.0 %,0.0 %
Belgium,2010,Carbapenems,1014,0,0,1014,100.0 %,0.0 %,0.0 %
Belgium,2011,Carbapenems,3989,0,0,3989,100.0 %,0.0 %,0.0 %
Belgium,2012,Carbapenems,4118,0,1,4119,100.0 %,0.0 %,0.0 %
Belgium,2013,Carbapenems,4244,0,2,4246,100.0 %,0.0 %,0.0 %
Bulgaria,2001,Carbapenems,71,0,0,71,100.0 %,0.0 %,0.0 %
Bulgaria,2002,Carbapenems,94,0,0,94,100.0 %,0.0 %,0.0 %
Bulgaria,2003,Carbapenems,118,0,0,118,100.0 %,0.0 %,0.0 %
Bulgaria,2004,Carbapenems,113,0,0,113,100.0 %,0.0 %,0.0 %
Bulgaria,2005,Carbapenems,156,0,0,156,100.0 %,0.0 %,0.0 %
Bulgaria,2006,Carbapenems,149,0,0,149,100.0 %,0.0 %,0.0 %
Bulgaria,2007,Carbapenems,78,0,0,78,100.0 %,0.0 %,0.0 %
Bulgaria,2008,Carbapenems,118,0,0,118,100.0 %,0.0 %,0.0 %
Bulgaria,2009,Carbapenems,150,0,1,151,99.3 %,0.0 %,0.7 %
Bulgaria,2010,Carbapenems,146,0,0,146,100.0 %,0.0 %,0.0 %
Bulgaria,2011,Carbapenems,145,0,0,145,100.0 %,0.0 %,0.0 %
Bulgaria,2012,Carbapenems,186,0,5,191,97.4 %,0.0 %,2.6 %
Bulgaria,2013,Carbapenems,170,1,5,176,96.6 %,0.6 %,2.8 %
Croatia,2010,Carbapenems,854,15,3,872,97.9 %,1.7 %,0.3 %
Croatia,2011,Carbapenems,983,0,0,983,100.0 %,0.0 %,0.0 %
Croatia,2012,Carbapenems,900,0,0,900,100.0 %,0.0 %,0.0 %
Croatia,2013,Carbapenems,1038,0,0,1038,100.0 %,0.0 %,0.0 %
Cyprus,2003,Carbapenems,19,0,0,19,100.0 %,0.0 %,0.0 %
