Country,Year,Antibiotic_Group,S,I,R,TotalN,pS,pI,pR
Austria,2001,Fluoroquinolones,185,0,14,199,93.0 %,0.0 %,7.0 %
Austria,2002,Fluoroquinolones,422,2,48,472,89.4 %,0.4 %,10.2 %
Austria,2003,Fluoroquinolones,836,3,138,977,85.6 %,0.3 %,14.1 %
Austria,2004,Fluoroquinolones,1535,9,310,1854,82.8 %,0.5 %,16.7 %
Austria,2005,Fluoroquinolones,1645,7,397,2049,80.3 %,0.3 %,19.4 %
Austria,2006,Fluoroquinolones,1909,10,544,2463,77.5 %,0.4 %,22.1 %
Austria,2007,Fluoroquinolones,1870,11,650,2531,73.9 %,0.4 %,25.7 %
Austria,2008,Fluoroquinolones,2282,11,682,2975,76.7 %,0.4 %,22.9 %
Austria,2009,Fluoroquinolones,2073,7,536,2616,79.2 %,0.3 %,20.5 %
Austria,2010,Fluoroquinolones,2300,14,611,2925,78.6 %,0.5 %,20.9 %
Austria,2011,Fluoroquinolones,2438,20,704,3162,77.1 %,0.6 %,22.3 %
Austria,2012,Fluoroquinolones,2843,25,742,3610,78.8 %,0.7 %,20.6 %
Austria,2013,Fluoroquinolones,3310,29,940,4279,77.4 %,0.7 %,22.0 %
Belgium,2001,Fluoroquinolones,172,2,17,191,90.1 %,1.0 %,8.9 %
Belgium,2002,Fluoroquinolones,826,0,126,952,86.8 %,0.0 %,13.2 %
Belgium,2003,Fluoroquinolones,1071,7,141,1219,87.9 %,0.6 %,11.6 %
Belgium,2004,Fluoroquinolones,1124,4,205,1333,84.3 %,0.3 %,15.4 %
Belgium,2005,Fluoroquinolones,1212,3,246,1461,83.0 %,0.2 %,16.8 %
Belgium,2006,Fluoroquinolones,1245,8,301,1554,80.1 %,0.5 %,19.4 %
Belgium,2007,Fluoroquinolones,1123,3,267,1393,80.6 %,0.2 %,19.2 %
Belgium,2008,Fluoroquinolones,1092,9,223,1324,82.5 %,0.7 %,16.8 %
Belgium,2009,Fluoroquinolones,1200,4,300,1504,79.8 %,0.3 %,19.9 %
Belgium,2010,Fluoroquinolones,1375,23,384,1782,77.2 %,1.3 %,21.5 %
Belgium,2011,Fluoroquinolones,2757,28,764,3549,77.7 %,0.8 %,21.5 %
Belgium,2012,Fluoroquinolones,2693,43,779,3515,76.6 %,1.2 %,22.2 %
Belgium,2013,Fluoroquinolones,3140,29,944,4113,76.3 %,0.7 %,23.0 %
Bulgaria,2001,Fluoroquinolones,82,0,7,89,92.1 %,0.0 %,7.9 %
Bulgaria,2002,Fluoroquinolones,114,2,19,135,84.4 %,1.5 %,14.1 %
Bulgaria,2003,Fluoroquinolones,123,2,30,155,79.4 %,1.3 %,19.4 %
Bulgaria,2004,Fluoroquinolones,120,4,39,163,73.6 %,2.5 %,23.9 %
Bulgaria,2005,Fluoroquinolones,139,1,56,196,70.9 %,0.5 %,28.6 %
Bulgaria,2006,Fluoroquinolones,138,3,50,191,72.3 %,1.6 %,26.2 %
Bulgaria,2007,Fluoroquinolones,81,2,44,127,63.8 %,1.6 %,34.6 %
Bulgaria,2008,Fluoroquinolones,100,0,46,146,68.5 %,0.0 %,31.5 %
Bulgaria,2009,Fluoroquinolones,136,3,54,193,70.5 %,1.6 %,28.0 %
Bulgaria,2010,Fluoroquinolones,100,1,50,151,66.2 %,0.7 %,33.1 %
Bulgaria,2011,Fluoroquinolones,124,1,54,179,69.3 %,0.6 %,30.2 %
Bulgaria,2012,Fluoroquinolones,143,4,76,223,64.1 %,1.8 %,34.1 %
Bulgaria,2013,Fluoroquinolones,111,6,70,187,59.4 %,3.2 %,37.4 %
Croatia,2010,Fluoroquinolones,720,7,149,876,82.2 %,0.8 %,17.0 %
