Country,Year,Antibiotic_Group,S,I,R,TotalN,pS,pI,pR
Austria,2005,3rd gen. cephalosporins,82,1,5,88,93.2 %,1.1 %,5.7 %
Austria,2006,3rd gen. cephalosporins,404,1,26,431,93.7 %,0.2 %,6.0 %
Austria,2007,3rd gen. cephalosporins,404,0,36,440,91.8 %,0.0 %,8.2 %
Austria,2008,3rd gen. cephalosporins,532,1,46,579,91.9 %,0.2 %,7.9 %
Austria,2009,3rd gen. cephalosporins,568,0,47,615,92.4 %,0.0 %,7.6 %
Austria,2010,3rd gen. cephalosporins,627,2,91,720,87.1 %,0.3 %,12.6 %
Austria,2011,3rd gen. cephalosporins,687,2,106,795,86.4 %,0.3 %,13.3 %
Austria,2012,3rd gen. cephalosporins,749,9,101,859,87.2 %,1.0 %,11.8 %
Austria,2013,3rd gen. cephalosporins,832,8,101,941,88.4 %,0.9 %,10.7 %
Belgium,2009,3rd gen. cephalosporins,120,1,21,142,84.5 %,0.7 %,14.8 %
Belgium,2010,3rd gen. cephalosporins,125,0,18,143,87.4 %,0.0 %,12.6 %
Belgium,2011,3rd gen. cephalosporins,572,5,91,668,85.6 %,0.7 %,13.6 %
Belgium,2012,3rd gen. cephalosporins,442,9,89,540,81.9 %,1.7 %,16.5 %
Belgium,2013,3rd gen. cephalosporins,487,16,91,594,82.0 %,2.7 %,15.3 %
Bulgaria,2005,3rd gen. cephalosporins,16,1,17,34,47.1 %,2.9 %,50.0 %
Bulgaria,2006,3rd gen. cephalosporins,22,0,33,55,40.0 %,0.0 %,60.0 %
Bulgaria,2007,3rd gen. cephalosporins,13,0,16,29,44.8 %,0.0 %,55.2 %
Bulgaria,2008,3rd gen. cephalosporins,13,0,36,49,26.5 %,0.0 %,73.5 %
Bulgaria,2009,3rd gen. cephalosporins,29,0,66,95,30.5 %,0.0 %,69.5 %
Bulgaria,2010,3rd gen. cephalosporins,27,4,96,127,21.3 %,3.1 %,75.6 %
Bulgaria,2011,3rd gen. cephalosporins,22,1,98,121,18.2 %,0.8 %,81.0 %
Bulgaria,2012,3rd gen. cephalosporins,30,2,95,127,23.6 %,1.6 %,74.8 %
Bulgaria,2013,3rd gen. cephalosporins,40,2,96,138,29.0 %,1.4 %,69.6 %
Croatia,2010,3rd gen. cephalosporins,121,4,156,281,43.1 %,1.4 %,55.5 %
Croatia,2011,3rd gen. cephalosporins,150,5,144,299,50.2 %,1.7 %,48.2 %
Croatia,2012,3rd gen. cephalosporins,155,4,173,332,46.7 %,1.2 %,52.1 %
Croatia,2013,3rd gen. cephalosporins,187,1,188,376,49.7 %,0.3 %,50.0 %
Cyprus,2005,3rd gen. cephalosporins,6,0,3,9,66.7 %,0.0 %,33.3 %
Cyprus,2006,3rd gen. cephalosporins,19,0,7,26,73.1 %,0.0 %,26.9 %
Cyprus,2007,3rd gen. cephalosporins,27,0,12,39,69.2 %,0.0 %,30.8 %
Cyprus,2008,3rd gen. cephalosporins,40,0,22,62,64.5 %,0.0 %,35.5 %
Cyprus,2009,3rd gen. cephalosporins,31,0,22,53,58.5 %,0.0 %,41.5 %
Cyprus,2010,3rd gen. cephalosporins,43,1,23,67,64.2 %,1.5 %,34.3 %
Cyprus,2011,3rd gen. cephalosporins,49,0,34,83,59.0 %,0.0 %,41.0 %
Cyprus,2012,3rd gen. cephalosporins,50,0,15,65,76.9 %,0.0 %,23.1 %
Cyprus,2013,3rd gen. cephalosporins,47,0,21,68,69.1 %,0.0 %,30.9 %
Czech Republic,2005,3rd gen. cephalosporins,323,0,155,478,67.6 %,0.0 %,32.4 %
Czech Republic,2006,3rd gen. cephalosporins,737,0,393,1130,65.2 %,0.0 %,34.8 %
Czech Republic,2007,3rd gen. cephalosporins,667,0,563,1230,54.2 %,0.0 %,45.8 %
Czech Republic,2008,3rd gen. cephalosporins,781,0,712,1493,52.3 %,0.0 %,47.7 %
Czech Republic,2009,3rd gen. cephalosporins,678,0,737,1415,47.9 %,0.0 %,52.1 %
Czech Republic,2010,3rd gen. cephalosporins,612,42,609,1263,48.5 %,3.3 %,48.2 %
Czech Republic,2011,3rd gen. cephalosporins,623,43,621,1287,48.4 %,3.3 %,48.3 %
Czech Republic,2012,3rd gen. cephalosporins,640,43,716,1399,45.7 %,3.1 %,51.2 %
Czech Republic,2013,3rd gen. cephalosporins,589,31,671,1291,45.6 %,2.4 %,52.0 %
