Country,Year,Antibiotic_Group,S,I,R,TotalN,pS,pI,pR
Austria,2005,Aminoglycosides,85,1,3,89,95.5 %,1.1 %,3.4 %
Austria,2006,Aminoglycosides,410,2,21,433,94.7 %,0.5 %,4.8 %
Austria,2007,Aminoglycosides,414,7,24,445,93.0 %,1.6 %,5.4 %
Austria,2008,Aminoglycosides,534,10,37,581,91.9 %,1.7 %,6.4 %
Austria,2009,Aminoglycosides,587,9,22,618,95.0 %,1.5 %,3.6 %
Austria,2010,Aminoglycosides,674,6,40,720,93.6 %,0.8 %,5.6 %
Austria,2011,Aminoglycosides,727,6,57,790,92.0 %,0.8 %,7.2 %
Austria,2012,Aminoglycosides,800,12,46,858,93.2 %,1.4 %,5.4 %
Austria,2013,Aminoglycosides,889,8,50,947,93.9 %,0.8 %,5.3 %
Belgium,2009,Aminoglycosides,124,4,14,142,87.3 %,2.8 %,9.9 %
Belgium,2010,Aminoglycosides,126,4,3,133,94.7 %,3.0 %,2.3 %
Belgium,2011,Aminoglycosides,549,10,49,608,90.3 %,1.6 %,8.1 %
Belgium,2012,Aminoglycosides,436,13,54,503,86.7 %,2.6 %,10.7 %
Belgium,2013,Aminoglycosides,530,11,59,600,88.3 %,1.8 %,9.8 %
Bulgaria,2005,Aminoglycosides,16,0,18,34,47.1 %,0.0 %,52.9 %
Bulgaria,2006,Aminoglycosides,21,1,33,55,38.2 %,1.8 %,60.0 %
Bulgaria,2007,Aminoglycosides,12,0,17,29,41.4 %,0.0 %,58.6 %
Bulgaria,2008,Aminoglycosides,19,1,29,49,38.8 %,2.0 %,59.2 %
Bulgaria,2009,Aminoglycosides,32,1,62,95,33.7 %,1.1 %,65.3 %
Bulgaria,2010,Aminoglycosides,38,2,87,127,29.9 %,1.6 %,68.5 %
Bulgaria,2011,Aminoglycosides,33,1,86,120,27.5 %,0.8 %,71.7 %
Bulgaria,2012,Aminoglycosides,54,4,69,127,42.5 %,3.1 %,54.3 %
Bulgaria,2013,Aminoglycosides,59,1,78,138,42.8 %,0.7 %,56.5 %
Croatia,2010,Aminoglycosides,140,2,139,281,49.8 %,0.7 %,49.5 %
Croatia,2011,Aminoglycosides,166,2,132,300,55.3 %,0.7 %,44.0 %
Croatia,2012,Aminoglycosides,176,3,153,332,53.0 %,0.9 %,46.1 %
Croatia,2013,Aminoglycosides,181,5,190,376,48.1 %,1.3 %,50.5 %
Cyprus,2005,Aminoglycosides,7,1,1,9,77.8 %,11.1 %,11.1 %
Cyprus,2006,Aminoglycosides,23,0,3,26,88.5 %,0.0 %,11.5 %
Cyprus,2007,Aminoglycosides,33,1,5,39,84.6 %,2.6 %,12.8 %
Cyprus,2008,Aminoglycosides,46,3,13,62,74.2 %,4.8 %,21.0 %
Cyprus,2009,Aminoglycosides,43,0,10,53,81.1 %,0.0 %,18.9 %
Cyprus,2010,Aminoglycosides,50,4,13,67,74.6 %,6.0 %,19.4 %
Cyprus,2011,Aminoglycosides,53,7,23,83,63.9 %,8.4 %,27.7 %
Cyprus,2012,Aminoglycosides,52,1,12,65,80.0 %,1.5 %,18.5 %
Cyprus,2013,Aminoglycosides,49,2,17,68,72.1 %,2.9 %,25.0 %
Czech Republic,2005,Aminoglycosides,304,0,173,477,63.7 %,0.0 %,36.3 %
Czech Republic,2006,Aminoglycosides,700,0,430,1130,61.9 %,0.0 %,38.1 %
Czech Republic,2007,Aminoglycosides,695,0,535,1230,56.5 %,0.0 %,43.5 %
Czech Republic,2008,Aminoglycosides,862,0,623,1485,58.0 %,0.0 %,42.0 %
Czech Republic,2009,Aminoglycosides,736,0,658,1394,52.8 %,0.0 %,47.2 %
Czech Republic,2010,Aminoglycosides,664,0,581,1245,53.3 %,0.0 %,46.7 %
Czech Republic,2011,Aminoglycosides,709,0,574,1283,55.3 %,0.0 %,44.7 %
Czech Republic,2012,Aminoglycosides,631,7,761,1399,45.1 %,0.5 %,54.4 %
Czech Republic,2013,Aminoglycosides,617,16,658,1291,47.8 %,1.2 %,51.0 %
Denmark,2006,Aminoglycosides,585,9,12,606,96.5 %,1.5 %,2.0 %
Denmark,2007,Aminoglycosides,732,3,47,782,93.6 %,0.4 %,6.0 %
Denmark,2008,Aminoglycosides,736,2,55,793,92.8 %,0.3 %,6.9 %
Denmark,2009,Aminoglycosides,751,12,59,822,91.4 %,1.5 %,7.2 %
Denmark,2010,Aminoglycosides,744,6,49,799,93.1 %,0.8 %,6.1 %
Denmark,2011,Aminoglycosides,847,8,53,908,93.3 %,0.9 %,5.8 %
Denmark,2012,Aminoglycosides,844,4,54,902,93.6 %,0.4 %,6.0 %
Denmark,2013,Aminoglycosides,823,3,38,864,95.3 %,0.3 %,4.4 %
Estonia,2005,Aminoglycosides,35,0,3,38,92.1 %,0.0 %,7.9 %
Estonia,2006,Aminoglycosides,42,0,4,46,91.3 %,0.0 %,8.7 %
Estonia,2007,Aminoglycosides,61,1,1,63,96.8 %,1.6 %,1.6 %
Estonia,2008,Aminoglycosides,59,2,11,72,81.9 %,2.8 %,15.3 %
Estonia,2009,Aminoglycosides,49,2,9,60,81.7 %,3.3 %,15.0 %
Estonia,2010,Aminoglycosides,49,0,17,66,74.2 %,0.0 %,25.8 %
Estonia,2011,Aminoglycosides,78,1,11,90,86.7 %,1.1 %,12.2 %
Estonia,2012,Aminoglycosides,78,1,12,91,85.7 %,1.1 %,13.2 %
Estonia,2013,Aminoglycosides,82,0,9,91,90.1 %,0.0 %,9.9 %
Finland,2005,Aminoglycosides,146,0,4,150,97.3 %,0.0 %,2.7 %
Finland,2006,Aminoglycosides,219,0,3,222,98.6 %,0.0 %,1.4 %
Finland,2007,Aminoglycosides,259,2,2,263,98.5 %,0.8 %,0.8 %
Finland,2008,Aminoglycosides,277,0,4,281,98.6 %,0.0 %,1.4 %
Finland,2009,Aminoglycosides,344,1,4,349,98.6 %,0.3 %,1.1 %
Finland,2010,Aminoglycosides,355,3,14,372,95.4 %,0.8 %,3.8 %
Finland,2011,Aminoglycosides,371,28,5,404,91.8 %,6.9 %,1.2 %
Finland,2012,Aminoglycosides,508,6,2,516,98.4 %,1.2 %,0.4 %
Finland,2013,Aminoglycosides,504,14,9,527,95.6 %,2.7 %,1.7 %
France,2005,Aminoglycosides,779,14,45,838,93.0 %,1.7 %,5.4 %
France,2006,Aminoglycosides,866,31,65,962,90.0 %,3.2 %,6.8 %
France,2007,Aminoglycosides,1048,11,127,1186,88.4 %,0.9 %,10.7 %
France,2008,Aminoglycosides,876,11,177,1064,82.3 %,1.0 %,16.6 %
France,2009,Aminoglycosides,1102,6,270,1378,80.0 %,0.4 %,19.6 %
France,2010,Aminoglycosides,1259,10,273,1542,81.6 %,0.6 %,17.7 %
France,2011,Aminoglycosides,1275,14,399,1688,75.5 %,0.8 %,23.6 %
France,2012,Aminoglycosides,843,12,264,1119,75.3 %,1.1 %,23.6 %
France,2013,Aminoglycosides,1407,13,518,1938,72.6 %,0.7 %,26.7 %
