Country,Year,Antibiotic_Group,S,I,R,TotalN,pS,pI,pR
Austria,2005,Carbapenems,80,0,0,80,100.0 %,0.0 %,0.0 %
Austria,2006,Carbapenems,269,0,0,269,100.0 %,0.0 %,0.0 %
Austria,2007,Carbapenems,305,1,0,306,99.7 %,0.3 %,0.0 %
Austria,2008,Carbapenems,397,0,0,397,100.0 %,0.0 %,0.0 %
Austria,2009,Carbapenems,463,0,0,463,100.0 %,0.0 %,0.0 %
Austria,2010,Carbapenems,506,0,3,509,99.4 %,0.0 %,0.6 %
Austria,2011,Carbapenems,608,1,1,610,99.7 %,0.2 %,0.2 %
Austria,2012,Carbapenems,727,5,6,738,98.5 %,0.7 %,0.8 %
Austria,2013,Carbapenems,897,2,11,910,98.6 %,0.2 %,1.2 %
Belgium,2009,Carbapenems,82,0,1,83,98.8 %,0.0 %,1.2 %
Belgium,2010,Carbapenems,116,0,0,116,100.0 %,0.0 %,0.0 %
Belgium,2011,Carbapenems,644,0,2,646,99.7 %,0.0 %,0.3 %
Belgium,2012,Carbapenems,540,1,4,545,99.1 %,0.2 %,0.7 %
Belgium,2013,Carbapenems,612,4,2,618,99.0 %,0.6 %,0.3 %
Bulgaria,2005,Carbapenems,30,0,0,30,100.0 %,0.0 %,0.0 %
Bulgaria,2006,Carbapenems,47,0,0,47,100.0 %,0.0 %,0.0 %
Bulgaria,2007,Carbapenems,27,0,0,27,100.0 %,0.0 %,0.0 %
Bulgaria,2008,Carbapenems,45,0,0,45,100.0 %,0.0 %,0.0 %
Bulgaria,2009,Carbapenems,87,1,0,88,98.9 %,1.1 %,0.0 %
Bulgaria,2010,Carbapenems,126,0,0,126,100.0 %,0.0 %,0.0 %
Bulgaria,2011,Carbapenems,116,0,0,116,100.0 %,0.0 %,0.0 %
Bulgaria,2012,Carbapenems,106,0,2,108,98.1 %,0.0 %,1.9 %
Bulgaria,2013,Carbapenems,129,0,0,129,100.0 %,0.0 %,0.0 %
Croatia,2010,Carbapenems,260,13,6,279,93.2 %,4.7 %,2.2 %
Croatia,2011,Carbapenems,298,1,0,299,99.7 %,0.3 %,0.0 %
