Country,Year,Antibiotic_Group,S,I,R,TotalN,pS,pI,pR
Austria,2005,Amikacin,73,1,0,74,98.6 %,1.4 %,0.0 %
Austria,2006,Amikacin,326,3,13,342,95.3 %,0.9 %,3.8 %
Austria,2007,Amikacin,361,7,4,372,97.0 %,1.9 %,1.1 %
Austria,2008,Amikacin,446,3,16,465,95.9 %,0.6 %,3.4 %
Austria,2009,Amikacin,429,4,15,448,95.8 %,0.9 %,3.3 %
Austria,2010,Amikacin,428,9,25,462,92.6 %,1.9 %,5.4 %
Austria,2011,Amikacin,458,20,18,496,92.3 %,4.0 %,3.6 %
Austria,2012,Amikacin,486,14,28,528,92.0 %,2.7 %,5.3 %
Austria,2013,Amikacin,538,10,15,563,95.6 %,1.8 %,2.7 %
Belgium,2009,Amikacin,125,3,8,136,91.9 %,2.2 %,5.9 %
Belgium,2010,Amikacin,87,1,7,95,91.6 %,1.1 %,7.4 %
Belgium,2011,Amikacin,335,9,34,378,88.6 %,2.4 %,9.0 %
Belgium,2012,Amikacin,305,10,25,340,89.7 %,2.9 %,7.4 %
Belgium,2013,Amikacin,410,14,38,462,88.7 %,3.0 %,8.2 %
Bulgaria,2005,Amikacin,19,1,14,34,55.9 %,2.9 %,41.2 %
Bulgaria,2006,Amikacin,25,0,6,31,80.6 %,0.0 %,19.4 %
Bulgaria,2007,Amikacin,11,0,2,13,84.6 %,0.0 %,15.4 %
Bulgaria,2008,Amikacin,14,1,8,23,60.9 %,4.3 %,34.8 %
Bulgaria,2009,Amikacin,26,2,7,35,74.3 %,5.7 %,20.0 %
Bulgaria,2010,Amikacin,36,0,6,42,85.7 %,0.0 %,14.3 %
Bulgaria,2011,Amikacin,33,1,14,48,68.8 %,2.1 %,29.2 %
Bulgaria,2012,Amikacin,35,1,15,51,68.6 %,2.0 %,29.4 %
Bulgaria,2013,Amikacin,47,4,7,58,81.0 %,6.9 %,12.1 %
Croatia,2010,Amikacin,176,4,29,209,84.2 %,1.9 %,13.9 %
Croatia,2011,Amikacin,180,16,29,225,80.0 %,7.1 %,12.9 %
Croatia,2012,Amikacin,170,6,21,197,86.3 %,3.0 %,10.7 %
Croatia,2013,Amikacin,206,5,24,235,87.7 %,2.1 %,10.2 %
Cyprus,2005,Amikacin,8,0,0,8,100.0 %,0.0 %,0.0 %
Cyprus,2006,Amikacin,36,0,1,37,97.3 %,0.0 %,2.7 %
Cyprus,2007,Amikacin,40,2,10,52,76.9 %,3.8 %,19.2 %
Cyprus,2008,Amikacin,37,1,5,43,86.0 %,2.3 %,11.6 %
Cyprus,2009,Amikacin,53,0,3,56,94.6 %,0.0 %,5.4 %
Cyprus,2010,Amikacin,43,0,5,48,89.6 %,0.0 %,10.4 %
Cyprus,2011,Amikacin,47,2,2,51,92.2 %,3.9 %,3.9 %
Cyprus,2012,Amikacin,48,0,4,52,92.3 %,0.0 %,7.7 %
Cyprus,2013,Amikacin,44,0,1,45,97.8 %,0.0 %,2.2 %
Czech Republic,2005,Amikacin,211,0,28,239,88.3 %,0.0 %,11.7 %
Czech Republic,2006,Amikacin,417,0,52,469,88.9 %,0.0 %,11.1 %
Czech Republic,2007,Amikacin,432,0,58,490,88.2 %,0.0 %,11.8 %
Czech Republic,2008,Amikacin,418,0,119,537,77.8 %,0.0 %,22.2 %
Czech Republic,2009,Amikacin,447,0,54,501,89.2 %,0.0 %,10.8 %
Czech Republic,2010,Amikacin,400,0,47,447,89.5 %,0.0 %,10.5 %
Czech Republic,2011,Amikacin,373,0,34,407,91.6 %,0.0 %,8.4 %
Czech Republic,2012,Amikacin,415,0,50,465,89.2 %,0.0 %,10.8 %
Czech Republic,2013,Amikacin,420,21,48,489,85.9 %,4.3 %,9.8 %
Denmark,2007,Amikacin,11,4,2,17,64.7 %,23.5 %,11.8 %
