Country,Year,Antibiotic_Group,S,I,R,TotalN,pS,pI,pR
Austria,2005,Aminoglycosides,67,5,5,77,87.0 %,6.5 %,6.5 %
Austria,2006,Aminoglycosides,355,7,37,399,89.0 %,1.8 %,9.3 %
Austria,2007,Aminoglycosides,340,12,33,385,88.3 %,3.1 %,8.6 %
Austria,2008,Aminoglycosides,455,10,41,506,89.9 %,2.0 %,8.1 %
Austria,2009,Aminoglycosides,464,5,40,509,91.2 %,1.0 %,7.9 %
Austria,2010,Aminoglycosides,435,15,50,500,87.0 %,3.0 %,10.0 %
Austria,2011,Aminoglycosides,462,2,71,535,86.4 %,0.4 %,13.3 %
Austria,2012,Aminoglycosides,528,1,63,592,89.2 %,0.2 %,10.6 %
Austria,2013,Aminoglycosides,571,1,46,618,92.4 %,0.2 %,7.4 %
Belgium,2009,Aminoglycosides,92,3,10,105,87.6 %,2.9 %,9.5 %
Belgium,2010,Aminoglycosides,79,2,13,94,84.0 %,2.1 %,13.8 %
Belgium,2011,Aminoglycosides,270,15,47,332,81.3 %,4.5 %,14.2 %
Belgium,2012,Aminoglycosides,245,9,32,286,85.7 %,3.1 %,11.2 %
Belgium,2013,Aminoglycosides,352,5,50,407,86.5 %,1.2 %,12.3 %
Bulgaria,2005,Aminoglycosides,16,0,18,34,47.1 %,0.0 %,52.9 %
Bulgaria,2006,Aminoglycosides,17,1,13,31,54.8 %,3.2 %,41.9 %
Bulgaria,2007,Aminoglycosides,10,0,4,14,71.4 %,0.0 %,28.6 %
Bulgaria,2008,Aminoglycosides,9,3,11,23,39.1 %,13.0 %,47.8 %
Bulgaria,2009,Aminoglycosides,22,0,11,33,66.7 %,0.0 %,33.3 %
Bulgaria,2010,Aminoglycosides,31,3,8,42,73.8 %,7.1 %,19.0 %
Bulgaria,2011,Aminoglycosides,29,3,16,48,60.4 %,6.3 %,33.3 %
Bulgaria,2012,Aminoglycosides,34,2,15,51,66.7 %,3.9 %,29.4 %
Bulgaria,2013,Aminoglycosides,45,3,12,60,75.0 %,5.0 %,20.0 %
Croatia,2010,Aminoglycosides,150,4,54,208,72.1 %,1.9 %,26.0 %
Croatia,2011,Aminoglycosides,125,21,80,226,55.3 %,9.3 %,35.4 %
Croatia,2012,Aminoglycosides,128,18,50,196,65.3 %,9.2 %,25.5 %
Croatia,2013,Aminoglycosides,186,0,58,244,76.2 %,0.0 %,23.8 %
Cyprus,2005,Aminoglycosides,7,0,1,8,87.5 %,0.0 %,12.5 %
Cyprus,2006,Aminoglycosides,32,1,4,37,86.5 %,2.7 %,10.8 %
Cyprus,2007,Aminoglycosides,38,1,13,52,73.1 %,1.9 %,25.0 %
Cyprus,2008,Aminoglycosides,32,2,9,43,74.4 %,4.7 %,20.9 %
Cyprus,2009,Aminoglycosides,58,1,3,62,93.5 %,1.6 %,4.8 %
Cyprus,2010,Aminoglycosides,43,0,5,48,89.6 %,0.0 %,10.4 %
Cyprus,2011,Aminoglycosides,37,6,8,51,72.5 %,11.8 %,15.7 %
Cyprus,2012,Aminoglycosides,43,1,8,52,82.7 %,1.9 %,15.4 %
Cyprus,2013,Aminoglycosides,43,2,2,47,91.5 %,4.3 %,4.3 %
Czech Republic,2005,Aminoglycosides,166,0,64,230,72.2 %,0.0 %,27.8 %
Czech Republic,2006,Aminoglycosides,319,0,135,454,70.3 %,0.0 %,29.7 %
Czech Republic,2007,Aminoglycosides,311,0,159,470,66.2 %,0.0 %,33.8 %
Czech Republic,2008,Aminoglycosides,299,0,240,539,55.5 %,0.0 %,44.5 %
Czech Republic,2009,Aminoglycosides,390,0,185,575,67.8 %,0.0 %,32.2 %
Czech Republic,2010,Aminoglycosides,345,0,165,510,67.6 %,0.0 %,32.4 %
Czech Republic,2011,Aminoglycosides,340,0,108,448,75.9 %,0.0 %,24.1 %
Czech Republic,2012,Aminoglycosides,378,0,111,489,77.3 %,0.0 %,22.7 %
Czech Republic,2013,Aminoglycosides,383,0,133,516,74.2 %,0.0 %,25.8 %
Denmark,2007,Aminoglycosides,407,5,5,417,97.6 %,1.2 %,1.2 %
Denmark,2008,Aminoglycosides,413,2,5,420,98.3 %,0.5 %,1.2 %
Denmark,2009,Aminoglycosides,423,2,3,428,98.8 %,0.5 %,0.7 %
Denmark,2010,Aminoglycosides,369,1,5,375,98.4 %,0.3 %,1.3 %
Denmark,2011,Aminoglycosides,394,1,9,404,97.5 %,0.2 %,2.2 %
Denmark,2012,Aminoglycosides,357,1,14,372,96.0 %,0.3 %,3.8 %
Denmark,2013,Aminoglycosides,387,1,20,408,94.9 %,0.2 %,4.9 %
Estonia,2005,Aminoglycosides,26,0,10,36,72.2 %,0.0 %,27.8 %
Estonia,2006,Aminoglycosides,37,0,3,40,92.5 %,0.0 %,7.5 %
Estonia,2007,Aminoglycosides,42,0,3,45,93.3 %,0.0 %,6.7 %
Estonia,2008,Aminoglycosides,33,1,7,41,80.5 %,2.4 %,17.1 %
Estonia,2009,Aminoglycosides,38,0,4,42,90.5 %,0.0 %,9.5 %
Estonia,2010,Aminoglycosides,8,0,2,10,80.0 %,0.0 %,20.0 %
Estonia,2011,Aminoglycosides,13,1,0,14,92.9 %,7.1 %,0.0 %
Estonia,2012,Aminoglycosides,23,1,8,32,71.9 %,3.1 %,25.0 %
Estonia,2013,Aminoglycosides,16,1,2,19,84.2 %,5.3 %,10.5 %
Finland,2005,Aminoglycosides,89,0,11,100,89.0 %,0.0 %,11.0 %
Finland,2006,Aminoglycosides,148,0,13,161,91.9 %,0.0 %,8.1 %
Finland,2007,Aminoglycosides,167,1,15,183,91.3 %,0.5 %,8.2 %
Finland,2008,Aminoglycosides,162,0,10,172,94.2 %,0.0 %,5.8 %
Finland,2009,Aminoglycosides,212,2,10,224,94.6 %,0.9 %,4.5 %
Finland,2010,Aminoglycosides,258,1,11,270,95.6 %,0.4 %,4.1 %
Finland,2011,Aminoglycosides,256,0,13,269,95.2 %,0.0 %,4.8 %
Finland,2012,Aminoglycosides,318,0,8,326,97.5 %,0.0 %,2.5 %
Finland,2013,Aminoglycosides,317,0,10,327,96.9 %,0.0 %,3.1 %
France,2005,Aminoglycosides,631,129,211,971,65.0 %,13.3 %,21.7 %
France,2006,Aminoglycosides,652,171,161,984,66.3 %,17.4 %,16.4 %
France,2007,Aminoglycosides,858,157,230,1245,68.9 %,12.6 %,18.5 %
France,2008,Aminoglycosides,772,144,164,1080,71.5 %,13.3 %,15.2 %
France,2009,Aminoglycosides,875,64,220,1159,75.5 %,5.5 %,19.0 %
France,2010,Aminoglycosides,852,60,209,1121,76.0 %,5.4 %,18.6 %
France,2011,Aminoglycosides,1165,97,336,1598,72.9 %,6.1 %,21.0 %
France,2012,Aminoglycosides,915,68,246,1229,74.5 %,5.5 %,20.0 %
France,2013,Aminoglycosides,1487,88,288,1863,79.8 %,4.7 %,15.5 %
Germany,2004,Aminoglycosides,1,0,0,1,100.0 %,0.0 %,0.0 %
Germany,2005,Aminoglycosides,50,53,14,117,42.7 %,45.3 %,12.0 %
Germany,2006,Aminoglycosides,56,77,29,162,34.6 %,47.5 %,17.9 %
