Country,Year,Antibiotic_Group,S,I,R,TotalN,pS,pI,pR
Austria,2005,Carbapenems,67,2,8,77,87.0 %,2.6 %,10.4 %
Austria,2006,Carbapenems,326,12,59,397,82.1 %,3.0 %,14.9 %
Austria,2007,Carbapenems,352,9,47,408,86.3 %,2.2 %,11.5 %
Austria,2008,Carbapenems,443,9,55,507,87.4 %,1.8 %,10.8 %
Austria,2009,Carbapenems,462,6,45,513,90.1 %,1.2 %,8.8 %
Austria,2010,Carbapenems,398,7,68,473,84.1 %,1.5 %,14.4 %
Austria,2011,Carbapenems,460,5,73,538,85.5 %,0.9 %,13.6 %
Austria,2012,Carbapenems,468,12,82,562,83.3 %,2.1 %,14.6 %
Austria,2013,Carbapenems,523,17,76,616,84.9 %,2.8 %,12.3 %
Belgium,2009,Carbapenems,118,4,12,134,88.1 %,3.0 %,9.0 %
Belgium,2010,Carbapenems,121,3,6,130,93.1 %,2.3 %,4.6 %
Belgium,2011,Carbapenems,387,23,49,459,84.3 %,5.0 %,10.7 %
Belgium,2012,Carbapenems,339,14,38,391,86.7 %,3.6 %,9.7 %
Belgium,2013,Carbapenems,446,15,57,518,86.1 %,2.9 %,11.0 %
Bulgaria,2005,Carbapenems,20,0,12,32,62.5 %,0.0 %,37.5 %
Bulgaria,2006,Carbapenems,22,2,4,28,78.6 %,7.1 %,14.3 %
Bulgaria,2007,Carbapenems,11,2,1,14,78.6 %,14.3 %,7.1 %
Bulgaria,2008,Carbapenems,18,1,4,23,78.3 %,4.3 %,17.4 %
Bulgaria,2009,Carbapenems,24,2,8,34,70.6 %,5.9 %,23.5 %
Bulgaria,2010,Carbapenems,29,0,13,42,69.0 %,0.0 %,31.0 %
Bulgaria,2011,Carbapenems,31,3,14,48,64.6 %,6.3 %,29.2 %
Bulgaria,2012,Carbapenems,31,4,16,51,60.8 %,7.8 %,31.4 %
Bulgaria,2013,Carbapenems,48,3,8,59,81.4 %,5.1 %,13.6 %
Croatia,2010,Carbapenems,140,10,60,210,66.7 %,4.8 %,28.6 %
Croatia,2011,Carbapenems,132,27,67,226,58.4 %,11.9 %,29.6 %
Croatia,2012,Carbapenems,129,15,51,195,66.2 %,7.7 %,26.2 %
Croatia,2013,Carbapenems,171,9,61,241,71.0 %,3.7 %,25.3 %
Cyprus,2005,Carbapenems,7,0,1,8,87.5 %,0.0 %,12.5 %
Cyprus,2006,Carbapenems,30,2,4,36,83.3 %,5.6 %,11.1 %
Cyprus,2007,Carbapenems,41,1,10,52,78.8 %,1.9 %,19.2 %
Cyprus,2008,Carbapenems,32,3,8,43,74.4 %,7.0 %,18.6 %
Cyprus,2009,Carbapenems,53,3,5,61,86.9 %,4.9 %,8.2 %
Cyprus,2010,Carbapenems,17,17,14,48,35.4 %,35.4 %,29.2 %
Cyprus,2011,Carbapenems,18,11,22,51,35.3 %,21.6 %,43.1 %
Cyprus,2012,Carbapenems,17,25,10,52,32.7 %,48.1 %,19.2 %
Cyprus,2013,Carbapenems,38,0,9,47,80.9 %,0.0 %,19.1 %
Czech Republic,2005,Carbapenems,177,0,80,257,68.9 %,0.0 %,31.1 %
Czech Republic,2006,Carbapenems,329,0,160,489,67.3 %,0.0 %,32.7 %
Czech Republic,2007,Carbapenems,331,0,186,517,64.0 %,0.0 %,36.0 %
Czech Republic,2008,Carbapenems,401,0,163,564,71.1 %,0.0 %,28.9 %
Czech Republic,2009,Carbapenems,409,0,166,575,71.1 %,0.0 %,28.9 %
Czech Republic,2010,Carbapenems,328,98,84,510,64.3 %,19.2 %,16.5 %
Czech Republic,2011,Carbapenems,319,70,59,448,71.2 %,15.6 %,13.2 %
Czech Republic,2012,Carbapenems,345,70,74,489,70.6 %,14.3 %,15.1 %
Czech Republic,2013,Carbapenems,359,76,81,516,69.6 %,14.7 %,15.7 %
Denmark,2007,Carbapenems,296,6,7,309,95.8 %,1.9 %,2.3 %
Denmark,2008,Carbapenems,333,3,4,340,97.9 %,0.9 %,1.2 %
Denmark,2009,Carbapenems,334,3,10,347,96.3 %,0.9 %,2.9 %
Denmark,2010,Carbapenems,342,3,11,356,96.1 %,0.8 %,3.1 %
Denmark,2011,Carbapenems,364,17,22,403,90.3 %,4.2 %,5.5 %
Denmark,2012,Carbapenems,334,8,13,355,94.1 %,2.3 %,3.7 %
Denmark,2013,Carbapenems,394,4,12,410,96.1 %,1.0 %,2.9 %
Estonia,2005,Carbapenems,23,0,14,37,62.2 %,0.0 %,37.8 %
Estonia,2006,Carbapenems,27,3,12,42,64.3 %,7.1 %,28.6 %
Estonia,2007,Carbapenems,33,4,8,45,73.3 %,8.9 %,17.8 %
Estonia,2008,Carbapenems,28,0,12,40,70.0 %,0.0 %,30.0 %
Estonia,2009,Carbapenems,22,2,5,29,75.9 %,6.9 %,17.2 %
