Country,Year,Antibiotic_Group,S,I,R,TotalN,pS,pI,pR
Austria,2005,Ceftazidime,69,2,5,76,90.8 %,2.6 %,6.6 %
Austria,2006,Ceftazidime,329,7,33,369,89.2 %,1.9 %,8.9 %
Austria,2007,Ceftazidime,342,16,19,377,90.7 %,4.2 %,5.0 %
Austria,2008,Ceftazidime,427,19,31,477,89.5 %,4.0 %,6.5 %
Austria,2009,Ceftazidime,442,12,29,483,91.5 %,2.5 %,6.0 %
Austria,2010,Ceftazidime,416,10,35,461,90.2 %,2.2 %,7.6 %
Austria,2011,Ceftazidime,440,5,53,498,88.4 %,1.0 %,10.6 %
Austria,2012,Ceftazidime,492,1,79,572,86.0 %,0.2 %,13.8 %
Austria,2013,Ceftazidime,548,2,58,608,90.1 %,0.3 %,9.5 %
Belgium,2009,Ceftazidime,124,2,8,134,92.5 %,1.5 %,6.0 %
Belgium,2010,Ceftazidime,104,8,8,120,86.7 %,6.7 %,6.7 %
Belgium,2011,Ceftazidime,354,26,37,417,84.9 %,6.2 %,8.9 %
Belgium,2012,Ceftazidime,281,18,27,326,86.2 %,5.5 %,8.3 %
Belgium,2013,Ceftazidime,405,11,43,459,88.2 %,2.4 %,9.4 %
Bulgaria,2005,Ceftazidime,18,0,15,33,54.5 %,0.0 %,45.5 %
Bulgaria,2006,Ceftazidime,23,3,4,30,76.7 %,10.0 %,13.3 %
Bulgaria,2007,Ceftazidime,11,0,3,14,78.6 %,0.0 %,21.4 %
Bulgaria,2008,Ceftazidime,10,0,12,22,45.5 %,0.0 %,54.5 %
Bulgaria,2009,Ceftazidime,24,3,8,35,68.6 %,8.6 %,22.9 %
Bulgaria,2010,Ceftazidime,30,0,7,37,81.1 %,0.0 %,18.9 %
Bulgaria,2011,Ceftazidime,26,1,12,39,66.7 %,2.6 %,30.8 %
Bulgaria,2012,Ceftazidime,33,1,18,52,63.5 %,1.9 %,34.6 %
Bulgaria,2013,Ceftazidime,46,3,7,56,82.1 %,5.4 %,12.5 %
Croatia,2010,Ceftazidime,172,3,22,197,87.3 %,1.5 %,11.2 %
Croatia,2011,Ceftazidime,154,23,38,215,71.6 %,10.7 %,17.7 %
