Country,Year,Antibiotic_Group,S,I,R,TotalN,pS,pI,pR
Austria,2005,Fluoroquinolones,65,1,11,77,84.4 %,1.3 %,14.3 %
Austria,2006,Fluoroquinolones,323,10,58,391,82.6 %,2.6 %,14.8 %
Austria,2007,Fluoroquinolones,332,13,62,407,81.6 %,3.2 %,15.2 %
Austria,2008,Fluoroquinolones,434,11,61,506,85.8 %,2.2 %,12.1 %
Austria,2009,Fluoroquinolones,438,8,66,512,85.5 %,1.6 %,12.9 %
Austria,2010,Fluoroquinolones,408,14,78,500,81.6 %,2.8 %,15.6 %
Austria,2011,Fluoroquinolones,403,13,95,511,78.9 %,2.5 %,18.6 %
Austria,2012,Fluoroquinolones,410,7,70,487,84.2 %,1.4 %,14.4 %
Austria,2013,Fluoroquinolones,438,14,81,533,82.2 %,2.6 %,15.2 %
Belgium,2009,Fluoroquinolones,112,1,21,134,83.6 %,0.7 %,15.7 %
Belgium,2010,Fluoroquinolones,104,2,15,121,86.0 %,1.7 %,12.4 %
Belgium,2011,Fluoroquinolones,301,12,84,397,75.8 %,3.0 %,21.2 %
Belgium,2012,Fluoroquinolones,260,9,60,329,79.0 %,2.7 %,18.2 %
Belgium,2013,Fluoroquinolones,392,12,82,486,80.7 %,2.5 %,16.9 %
Bulgaria,2005,Fluoroquinolones,18,0,16,34,52.9 %,0.0 %,47.1 %
Bulgaria,2006,Fluoroquinolones,25,0,5,30,83.3 %,0.0 %,16.7 %
Bulgaria,2007,Fluoroquinolones,12,0,2,14,85.7 %,0.0 %,14.3 %
Bulgaria,2008,Fluoroquinolones,13,1,8,22,59.1 %,4.5 %,36.4 %
Bulgaria,2009,Fluoroquinolones,24,0,12,36,66.7 %,0.0 %,33.3 %
Bulgaria,2010,Fluoroquinolones,32,1,9,42,76.2 %,2.4 %,21.4 %
Bulgaria,2011,Fluoroquinolones,30,3,14,47,63.8 %,6.4 %,29.8 %
Bulgaria,2012,Fluoroquinolones,32,3,17,52,61.5 %,5.8 %,32.7 %
Bulgaria,2013,Fluoroquinolones,46,3,11,60,76.7 %,5.0 %,18.3 %
Croatia,2010,Fluoroquinolones,148,5,55,208,71.2 %,2.4 %,26.4 %
Croatia,2011,Fluoroquinolones,141,5,79,225,62.7 %,2.2 %,35.1 %
Croatia,2012,Fluoroquinolones,145,3,46,194,74.7 %,1.5 %,23.7 %
Croatia,2013,Fluoroquinolones,180,8,52,240,75.0 %,3.3 %,21.7 %
Cyprus,2005,Fluoroquinolones,7,0,1,8,87.5 %,0.0 %,12.5 %
Cyprus,2006,Fluoroquinolones,27,0,10,37,73.0 %,0.0 %,27.0 %
Cyprus,2007,Fluoroquinolones,40,0,12,52,76.9 %,0.0 %,23.1 %
Cyprus,2008,Fluoroquinolones,26,0,16,42,61.9 %,0.0 %,38.1 %
Cyprus,2009,Fluoroquinolones,49,5,8,62,79.0 %,8.1 %,12.9 %
Cyprus,2010,Fluoroquinolones,36,3,8,47,76.6 %,6.4 %,17.0 %
Cyprus,2011,Fluoroquinolones,37,7,7,51,72.5 %,13.7 %,13.7 %
Cyprus,2012,Fluoroquinolones,41,3,8,52,78.8 %,5.8 %,15.4 %
Cyprus,2013,Fluoroquinolones,38,4,5,47,80.9 %,8.5 %,10.6 %
Czech Republic,2005,Fluoroquinolones,140,0,116,256,54.7 %,0.0 %,45.3 %
Czech Republic,2006,Fluoroquinolones,258,0,232,490,52.7 %,0.0 %,47.3 %
Czech Republic,2007,Fluoroquinolones,296,0,221,517,57.3 %,0.0 %,42.7 %
Czech Republic,2008,Fluoroquinolones,307,0,261,568,54.0 %,0.0 %,46.0 %
Czech Republic,2009,Fluoroquinolones,337,0,238,575,58.6 %,0.0 %,41.4 %
Czech Republic,2010,Fluoroquinolones,302,0,208,510,59.2 %,0.0 %,40.8 %
Czech Republic,2011,Fluoroquinolones,296,0,152,448,66.1 %,0.0 %,33.9 %
Czech Republic,2012,Fluoroquinolones,318,20,151,489,65.0 %,4.1 %,30.9 %
Czech Republic,2013,Fluoroquinolones,318,24,174,516,61.6 %,4.7 %,33.7 %
Denmark,2007,Fluoroquinolones,351,12,23,386,90.9 %,3.1 %,6.0 %
Denmark,2008,Fluoroquinolones,393,7,14,414,94.9 %,1.7 %,3.4 %
Denmark,2009,Fluoroquinolones,385,4,22,411,93.7 %,1.0 %,5.4 %
Denmark,2010,Fluoroquinolones,335,3,22,360,93.1 %,0.8 %,6.1 %
Denmark,2011,Fluoroquinolones,370,5,28,403,91.8 %,1.2 %,6.9 %
Denmark,2012,Fluoroquinolones,371,2,16,389,95.4 %,0.5 %,4.1 %
Denmark,2013,Fluoroquinolones,392,3,13,408,96.1 %,0.7 %,3.2 %
Estonia,2005,Fluoroquinolones,30,2,5,37,81.1 %,5.4 %,13.5 %
Estonia,2006,Fluoroquinolones,37,0,4,41,90.2 %,0.0 %,9.8 %
Estonia,2007,Fluoroquinolones,40,1,4,45,88.9 %,2.2 %,8.9 %
Estonia,2008,Fluoroquinolones,29,4,7,40,72.5 %,10.0 %,17.5 %
Estonia,2009,Fluoroquinolones,34,1,8,43,79.1 %,2.3 %,18.6 %
Estonia,2010,Fluoroquinolones,8,0,2,10,80.0 %,0.0 %,20.0 %
Estonia,2011,Fluoroquinolones,15,0,1,16,93.8 %,0.0 %,6.3 %
Estonia,2012,Fluoroquinolones,27,0,5,32,84.4 %,0.0 %,15.6 %
Estonia,2013,Fluoroquinolones,15,0,5,20,75.0 %,0.0 %,25.0 %
Finland,2005,Fluoroquinolones,78,3,15,96,81.3 %,3.1 %,15.6 %
Finland,2006,Fluoroquinolones,131,3,28,162,80.9 %,1.9 %,17.3 %
Finland,2007,Fluoroquinolones,163,0,20,183,89.1 %,0.0 %,10.9 %
Finland,2008,Fluoroquinolones,144,4,27,175,82.3 %,2.3 %,15.4 %
Finland,2009,Fluoroquinolones,202,6,25,233,86.7 %,2.6 %,10.7 %
Finland,2010,Fluoroquinolones,241,8,31,280,86.1 %,2.9 %,11.1 %
Finland,2011,Fluoroquinolones,192,5,36,233,82.4 %,2.1 %,15.5 %
Finland,2012,Fluoroquinolones,291,10,26,327,89.0 %,3.1 %,8.0 %
Finland,2013,Fluoroquinolones,273,8,36,317,86.1 %,2.5 %,11.4 %
France,2005,Fluoroquinolones,697,26,262,985,70.8 %,2.6 %,26.6 %
France,2006,Fluoroquinolones,743,24,228,995,74.7 %,2.4 %,22.9 %
France,2007,Fluoroquinolones,952,33,306,1291,73.7 %,2.6 %,23.7 %
France,2008,Fluoroquinolones,848,33,250,1131,75.0 %,2.9 %,22.1 %
France,2009,Fluoroquinolones,870,35,299,1204,72.3 %,2.9 %,24.8 %
France,2010,Fluoroquinolones,877,35,269,1181,74.3 %,3.0 %,22.8 %
France,2011,Fluoroquinolones,1095,40,419,1554,70.5 %,2.6 %,27.0 %
France,2012,Fluoroquinolones,1307,33,383,1723,75.9 %,1.9 %,22.2 %
France,2013,Fluoroquinolones,1420,48,395,1863,76.2 %,2.6 %,21.2 %
Germany,2004,Fluoroquinolones,1,0,0,1,100.0 %,0.0 %,0.0 %
Germany,2005,Fluoroquinolones,87,2,26,115,75.7 %,1.7 %,22.6 %
Germany,2006,Fluoroquinolones,114,2,45,161,70.8 %,1.2 %,28.0 %
Germany,2007,Fluoroquinolones,126,15,55,196,64.3 %,7.7 %,28.1 %
Germany,2008,Fluoroquinolones,125,4,37,166,75.3 %,2.4 %,22.3 %
Germany,2009,Fluoroquinolones,224,12,49,285,78.6 %,4.2 %,17.2 %
Germany,2010,Fluoroquinolones,230,27,58,315,73.0 %,8.6 %,18.4 %
Germany,2011,Fluoroquinolones,291,24,70,385,75.6 %,6.2 %,18.2 %
Germany,2012,Fluoroquinolones,330,19,85,434,76.0 %,4.4 %,19.6 %
Germany,2013,Fluoroquinolones,474,34,99,607,78.1 %,5.6 %,16.3 %
Greece,2005,Fluoroquinolones,408,12,274,694,58.8 %,1.7 %,39.5 %
Greece,2006,Fluoroquinolones,426,18,370,814,52.3 %,2.2 %,45.5 %
Greece,2007,Fluoroquinolones,383,17,396,796,48.1 %,2.1 %,49.7 %
Greece,2008,Fluoroquinolones,450,17,434,901,49.9 %,1.9 %,48.2 %
Greece,2009,Fluoroquinolones,570,20,490,1080,52.8 %,1.9 %,45.4 %
Greece,2010,Fluoroquinolones,515,20,450,985,52.3 %,2.0 %,45.7 %
Greece,2011,Fluoroquinolones,534,37,362,933,57.2 %,4.0 %,38.8 %
Greece,2012,Fluoroquinolones,465,16,383,864,53.8 %,1.9 %,44.3 %
Greece,2013,Fluoroquinolones,459,23,371,853,53.8 %,2.7 %,43.5 %
Hungary,2005,Fluoroquinolones,271,11,108,390,69.5 %,2.8 %,27.7 %
Hungary,2006,Fluoroquinolones,275,22,80,377,72.9 %,5.8 %,21.2 %
Hungary,2007,Fluoroquinolones,362,31,121,514,70.4 %,6.0 %,23.5 %
Hungary,2008,Fluoroquinolones,353,21,134,508,69.5 %,4.1 %,26.4 %
Hungary,2009,Fluoroquinolones,359,17,137,513,70.0 %,3.3 %,26.7 %
Hungary,2010,Fluoroquinolones,436,24,169,629,69.3 %,3.8 %,26.9 %
Hungary,2011,Fluoroquinolones,455,23,122,600,75.8 %,3.8 %,20.3 %
Hungary,2012,Fluoroquinolones,472,8,138,618,76.4 %,1.3 %,22.3 %
Hungary,2013,Fluoroquinolones,490,21,156,667,73.5 %,3.1 %,23.4 %
Iceland,2005,Fluoroquinolones,13,0,0,13,100.0 %,0.0 %,0.0 %
Iceland,2006,Fluoroquinolones,9,0,0,9,100.0 %,0.0 %,0.0 %
Iceland,2007,Fluoroquinolones,11,0,0,11,100.0 %,0.0 %,0.0 %
Iceland,2008,Fluoroquinolones,7,0,0,7,100.0 %,0.0 %,0.0 %
Iceland,2009,Fluoroquinolones,14,0,2,16,87.5 %,0.0 %,12.5 %
Iceland,2010,Fluoroquinolones,10,0,2,12,83.3 %,0.0 %,16.7 %
Iceland,2011,Fluoroquinolones,15,0,1,16,93.8 %,0.0 %,6.3 %
Iceland,2012,Fluoroquinolones,9,0,1,10,90.0 %,0.0 %,10.0 %
Iceland,2013,Fluoroquinolones,11,0,0,11,100.0 %,0.0 %,0.0 %
Ireland,2005,Fluoroquinolones,25,0,4,29,86.2 %,0.0 %,13.8 %
Ireland,2006,Fluoroquinolones,104,2,21,127,81.9 %,1.6 %,16.5 %
Ireland,2007,Fluoroquinolones,135,5,30,170,79.4 %,2.9 %,17.6 %
Ireland,2008,Fluoroquinolones,151,8,30,189,79.9 %,4.2 %,15.9 %
Ireland,2009,Fluoroquinolones,212,2,22,236,89.8 %,0.8 %,9.3 %
Ireland,2010,Fluoroquinolones,189,6,23,218,86.7 %,2.8 %,10.6 %
