Country,Year,Antibiotic_Group,S,I,R,TotalN,pS,pI,pR
Austria,2000,MRSA,314,0,68,382,82.2 %,0.0 %,17.8 %
Austria,2001,MRSA,257,0,21,278,92.4 %,0.0 %,7.6 %
Austria,2002,MRSA,400,0,55,455,87.9 %,0.0 %,12.1 %
Austria,2003,MRSA,737,0,134,871,84.6 %,0.0 %,15.4 %
Austria,2004,MRSA,1214,0,205,1419,85.6 %,0.0 %,14.4 %
Austria,2005,MRSA,1272,0,200,1472,86.4 %,0.0 %,13.6 %
Austria,2006,MRSA,1483,0,155,1638,90.5 %,0.0 %,9.5 %
Austria,2007,MRSA,1343,0,160,1503,89.4 %,0.0 %,10.6 %
Austria,2008,MRSA,1737,0,157,1894,91.7 %,0.0 %,8.3 %
Austria,2009,MRSA,1637,0,109,1746,93.8 %,0.0 %,6.2 %
Austria,2010,MRSA,1679,0,135,1814,92.6 %,0.0 %,7.4 %
Austria,2011,MRSA,1822,0,145,1967,92.6 %,0.0 %,7.4 %
Austria,2012,MRSA,1998,0,166,2164,92.3 %,0.0 %,7.7 %
Austria,2013,MRSA,2302,0,233,2535,90.8 %,0.0 %,9.2 %
Belgium,1999,MRSA,340,0,102,442,76.9 %,0.0 %,23.1 %
Belgium,2000,MRSA,520,0,137,657,79.1 %,0.0 %,20.9 %
Belgium,2001,MRSA,729,0,212,941,77.5 %,0.0 %,22.5 %
Belgium,2002,MRSA,783,0,309,1092,71.7 %,0.0 %,28.3 %
Belgium,2003,MRSA,798,0,335,1133,70.4 %,0.0 %,29.6 %
Belgium,2004,MRSA,819,0,408,1227,66.7 %,0.0 %,33.3 %
Belgium,2005,MRSA,719,0,329,1048,68.6 %,0.0 %,31.4 %
Belgium,2006,MRSA,670,0,188,858,78.1 %,0.0 %,21.9 %
Belgium,2007,MRSA,656,0,199,855,76.7 %,0.0 %,23.3 %
Belgium,2008,MRSA,719,0,187,906,79.4 %,0.0 %,20.6 %
Belgium,2009,MRSA,749,0,200,949,78.9 %,0.0 %,21.1 %
Belgium,2010,MRSA,840,0,217,1057,79.5 %,0.0 %,20.5 %
Belgium,2011,MRSA,1440,0,304,1744,82.6 %,0.0 %,17.4 %
Belgium,2012,MRSA,1308,0,260,1568,83.4 %,0.0 %,16.6 %
Belgium,2013,MRSA,1340,0,272,1612,83.1 %,0.0 %,16.9 %
Bulgaria,2000,MRSA,61,0,41,102,59.8 %,0.0 %,40.2 %
Bulgaria,2001,MRSA,75,0,28,103,72.8 %,0.0 %,27.2 %
Bulgaria,2002,MRSA,78,0,38,116,67.2 %,0.0 %,32.8 %
Bulgaria,2003,MRSA,108,0,49,157,68.8 %,0.0 %,31.2 %
Bulgaria,2004,MRSA,131,0,39,170,77.1 %,0.0 %,22.9 %
Bulgaria,2005,MRSA,113,0,47,160,70.6 %,0.0 %,29.4 %
Bulgaria,2006,MRSA,114,0,45,159,71.7 %,0.0 %,28.3 %
Bulgaria,2007,MRSA,105,0,16,121,86.8 %,0.0 %,13.2 %
Bulgaria,2008,MRSA,120,0,40,160,75.0 %,0.0 %,25.0 %
Bulgaria,2009,MRSA,186,0,35,221,84.2 %,0.0 %,15.8 %
Bulgaria,2010,MRSA,162,0,38,200,81.0 %,0.0 %,19.0 %
Bulgaria,2011,MRSA,166,0,48,214,77.6 %,0.0 %,22.4 %
Bulgaria,2012,MRSA,182,0,45,227,80.2 %,0.0 %,19.8 %
Bulgaria,2013,MRSA,173,0,41,214,80.8 %,0.0 %,19.2 %
Croatia,2010,MRSA,264,0,93,357,73.9 %,0.0 %,26.1 %
Croatia,2011,MRSA,300,0,115,415,72.3 %,0.0 %,27.7 %
Croatia,2012,MRSA,317,0,86,403,78.7 %,0.0 %,21.3 %
Croatia,2013,MRSA,395,0,125,520,76.0 %,0.0 %,24.0 %
Cyprus,2003,MRSA,10,0,18,28,35.7 %,0.0 %,64.3 %
Cyprus,2004,MRSA,20,0,19,39,51.3 %,0.0 %,48.7 %
Cyprus,2005,MRSA,24,0,30,54,44.4 %,0.0 %,55.6 %
Cyprus,2006,MRSA,41,0,21,62,66.1 %,0.0 %,33.9 %
Cyprus,2007,MRSA,44,0,41,85,51.8 %,0.0 %,48.2 %
Cyprus,2008,MRSA,50,0,42,92,54.3 %,0.0 %,45.7 %
Cyprus,2009,MRSA,60,0,29,89,67.4 %,0.0 %,32.6 %
Cyprus,2010,MRSA,67,0,32,99,67.7 %,0.0 %,32.3 %
Cyprus,2011,MRSA,66,0,47,113,58.4 %,0.0 %,41.6 %
Cyprus,2012,MRSA,107,0,58,165,64.8 %,0.0 %,35.2 %
Cyprus,2013,MRSA,106,0,51,157,67.5 %,0.0 %,32.5 %
Czech Republic,2000,MRSA,493,0,22,515,95.7 %,0.0 %,4.3 %
Czech Republic,2001,MRSA,1011,0,64,1075,94.0 %,0.0 %,6.0 %
Czech Republic,2002,MRSA,1099,0,69,1168,94.1 %,0.0 %,5.9 %
Czech Republic,2003,MRSA,1302,0,85,1387,93.9 %,0.0 %,6.1 %
Czech Republic,2004,MRSA,1321,0,123,1444,91.5 %,0.0 %,8.5 %
Czech Republic,2005,MRSA,1353,0,200,1553,87.1 %,0.0 %,12.9 %
Czech Republic,2006,MRSA,1339,0,188,1527,87.7 %,0.0 %,12.3 %
Czech Republic,2007,MRSA,1440,0,213,1653,87.1 %,0.0 %,12.9 %
Czech Republic,2008,MRSA,1471,0,244,1715,85.8 %,0.0 %,14.2 %
Czech Republic,2009,MRSA,1448,0,247,1695,85.4 %,0.0 %,14.6 %
Czech Republic,2010,MRSA,1378,0,215,1593,86.5 %,0.0 %,13.5 %
Czech Republic,2011,MRSA,1328,0,226,1554,85.5 %,0.0 %,14.5 %
Czech Republic,2012,MRSA,1402,0,209,1611,87.0 %,0.0 %,13.0 %
Czech Republic,2013,MRSA,1481,0,226,1707,86.8 %,0.0 %,13.2 %
Denmark,2000,MRSA,500,0,1,501,99.8 %,0.0 %,0.2 %
Denmark,2001,MRSA,516,0,4,520,99.2 %,0.0 %,0.8 %
Denmark,2002,MRSA,745,0,7,752,99.1 %,0.0 %,0.9 %
Denmark,2003,MRSA,667,0,4,671,99.4 %,0.0 %,0.6 %
Denmark,2004,MRSA,1418,0,18,1436,98.7 %,0.0 %,1.3 %
Denmark,2005,MRSA,1327,0,23,1350,98.3 %,0.0 %,1.7 %
Denmark,2006,MRSA,1257,0,22,1279,98.3 %,0.0 %,1.7 %
Denmark,2007,MRSA,1306,0,9,1315,99.3 %,0.0 %,0.7 %
Denmark,2008,MRSA,1274,0,21,1295,98.4 %,0.0 %,1.6 %
Denmark,2009,MRSA,1366,0,29,1395,97.9 %,0.0 %,2.1 %
Denmark,2010,MRSA,1344,0,18,1362,98.7 %,0.0 %,1.3 %
Denmark,2011,MRSA,1435,0,17,1452,98.8 %,0.0 %,1.2 %
Denmark,2012,MRSA,1413,0,18,1431,98.7 %,0.0 %,1.3 %
Denmark,2013,MRSA,1656,0,29,1685,98.3 %,0.0 %,1.7 %
Estonia,2001,MRSA,75,0,4,79,94.9 %,0.0 %,5.1 %
Estonia,2002,MRSA,82,0,0,82,100.0 %,0.0 %,0.0 %
Estonia,2003,MRSA,94,0,4,98,95.9 %,0.0 %,4.1 %
Estonia,2004,MRSA,99,0,5,104,95.2 %,0.0 %,4.8 %
Estonia,2005,MRSA,138,0,3,141,97.9 %,0.0 %,2.1 %
Estonia,2006,MRSA,149,0,5,154,96.8 %,0.0 %,3.2 %
Estonia,2007,MRSA,187,0,19,206,90.8 %,0.0 %,9.2 %
Estonia,2008,MRSA,177,0,8,185,95.7 %,0.0 %,4.3 %
Estonia,2009,MRSA,206,0,7,213,96.7 %,0.0 %,3.3 %
Estonia,2010,MRSA,144,0,1,145,99.3 %,0.0 %,0.7 %
Estonia,2011,MRSA,114,0,2,116,98.3 %,0.0 %,1.7 %
Estonia,2012,MRSA,96,0,8,104,92.3 %,0.0 %,7.7 %
Estonia,2013,MRSA,164,0,6,170,96.5 %,0.0 %,3.5 %
Finland,1998,MRSA,15,0,0,15,100.0 %,0.0 %,0.0 %
Finland,1999,MRSA,317,0,3,320,99.1 %,0.0 %,0.9 %
Finland,2000,MRSA,364,0,3,367,99.2 %,0.0 %,0.8 %
Finland,2001,MRSA,601,0,5,606,99.2 %,0.0 %,0.8 %
Finland,2002,MRSA,715,0,6,721,99.2 %,0.0 %,0.8 %
Finland,2003,MRSA,717,0,10,727,98.6 %,0.0 %,1.4 %
Finland,2004,MRSA,855,0,27,882,96.9 %,0.0 %,3.1 %
Finland,2005,MRSA,767,0,23,790,97.1 %,0.0 %,2.9 %
Finland,2006,MRSA,863,0,29,892,96.7 %,0.0 %,3.3 %
Finland,2007,MRSA,801,0,13,814,98.4 %,0.0 %,1.6 %
Finland,2008,MRSA,897,0,26,923,97.2 %,0.0 %,2.8 %
Finland,2009,MRSA,955,0,19,974,98.0 %,0.0 %,2.0 %
Finland,2010,MRSA,1069,0,25,1094,97.7 %,0.0 %,2.3 %
Finland,2011,MRSA,1227,0,41,1268,96.8 %,0.0 %,3.2 %
Finland,2012,MRSA,1380,0,29,1409,97.9 %,0.0 %,2.1 %
Finland,2013,MRSA,1542,0,28,1570,98.2 %,0.0 %,1.8 %
France,2001,MRSA,1142,0,572,1714,66.6 %,0.0 %,33.4 %
France,2002,MRSA,1115,0,548,1663,67.0 %,0.0 %,33.0 %
France,2003,MRSA,1215,0,493,1708,71.1 %,0.0 %,28.9 %
France,2004,MRSA,2386,0,961,3347,71.3 %,0.0 %,28.7 %
France,2005,MRSA,2534,0,949,3483,72.8 %,0.0 %,27.2 %
France,2006,MRSA,2797,0,1021,3818,73.3 %,0.0 %,26.7 %
France,2007,MRSA,3154,0,1096,4250,74.2 %,0.0 %,25.8 %
France,2008,MRSA,3304,0,1072,4376,75.5 %,0.0 %,24.5 %
France,2009,MRSA,3646,0,1074,4720,77.2 %,0.0 %,22.8 %
