Country,Year,Antibiotic_Group,S,I,R,TotalN,pS,pI,pR
Austria,2000,Rifampin,343,0,9,352,97.4 %,0.0 %,2.6 %
Austria,2001,Rifampin,101,0,2,103,98.1 %,0.0 %,1.9 %
Austria,2002,Rifampin,275,0,3,278,98.9 %,0.0 %,1.1 %
Austria,2003,Rifampin,688,1,8,697,98.7 %,0.1 %,1.1 %
Austria,2004,Rifampin,1048,1,9,1058,99.1 %,0.1 %,0.9 %
Austria,2005,Rifampin,1207,2,10,1219,99.0 %,0.2 %,0.8 %
Austria,2006,Rifampin,1438,1,8,1447,99.4 %,0.1 %,0.6 %
Austria,2007,Rifampin,1381,1,6,1388,99.5 %,0.1 %,0.4 %
Austria,2008,Rifampin,1753,0,9,1762,99.5 %,0.0 %,0.5 %
Austria,2009,Rifampin,1675,2,3,1680,99.7 %,0.1 %,0.2 %
Austria,2010,Rifampin,1733,1,4,1738,99.7 %,0.1 %,0.2 %
Austria,2011,Rifampin,1829,16,5,1850,98.9 %,0.9 %,0.3 %
Austria,2012,Rifampin,1993,31,12,2036,97.9 %,1.5 %,0.6 %
Austria,2013,Rifampin,2405,21,12,2438,98.6 %,0.9 %,0.5 %
Belgium,2010,Rifampin,244,0,2,246,99.2 %,0.0 %,0.8 %
Belgium,2011,Rifampin,952,56,6,1014,93.9 %,5.5 %,0.6 %
Belgium,2012,Rifampin,777,190,7,974,79.8 %,19.5 %,0.7 %
Belgium,2013,Rifampin,1118,71,4,1193,93.7 %,6.0 %,0.3 %
Bulgaria,2000,Rifampin,75,1,6,82,91.5 %,1.2 %,7.3 %
Bulgaria,2001,Rifampin,83,0,4,87,95.4 %,0.0 %,4.6 %
Bulgaria,2002,Rifampin,84,1,7,92,91.3 %,1.1 %,7.6 %
Bulgaria,2003,Rifampin,118,0,8,126,93.7 %,0.0 %,6.3 %
Bulgaria,2004,Rifampin,112,0,5,117,95.7 %,0.0 %,4.3 %
Bulgaria,2005,Rifampin,119,0,6,125,95.2 %,0.0 %,4.8 %
Bulgaria,2006,Rifampin,81,1,12,94,86.2 %,1.1 %,12.8 %
Bulgaria,2007,Rifampin,74,0,2,76,97.4 %,0.0 %,2.6 %
Bulgaria,2008,Rifampin,124,0,6,130,95.4 %,0.0 %,4.6 %
Bulgaria,2009,Rifampin,133,0,4,137,97.1 %,0.0 %,2.9 %
Bulgaria,2010,Rifampin,114,0,9,123,92.7 %,0.0 %,7.3 %
Bulgaria,2011,Rifampin,138,1,23,162,85.2 %,0.6 %,14.2 %
Bulgaria,2012,Rifampin,177,1,17,195,90.8 %,0.5 %,8.7 %
Bulgaria,2013,Rifampin,123,0,23,146,84.2 %,0.0 %,15.8 %
Croatia,2010,Rifampin,343,2,2,347,98.8 %,0.6 %,0.6 %
Croatia,2011,Rifampin,384,6,5,395,97.2 %,1.5 %,1.3 %
Croatia,2012,Rifampin,369,2,2,373,98.9 %,0.5 %,0.5 %
Croatia,2013,Rifampin,435,9,4,448,97.1 %,2.0 %,0.9 %
