Country,Year,Antibiotic_Group,S,I,R,TotalN,pS,pI,pR
Austria,2000,Macrolides,56,0,3,59,94.9 %,0.0 %,5.1 %
Austria,2001,Macrolides,19,0,2,21,90.5 %,0.0 %,9.5 %
Austria,2002,Macrolides,61,1,6,68,89.7 %,1.5 %,8.8 %
Austria,2003,Macrolides,117,0,18,135,86.7 %,0.0 %,13.3 %
Austria,2004,Macrolides,186,4,23,213,87.3 %,1.9 %,10.8 %
Austria,2005,Macrolides,224,4,35,263,85.2 %,1.5 %,13.3 %
Austria,2006,Macrolides,221,7,25,253,87.4 %,2.8 %,9.9 %
Austria,2007,Macrolides,228,2,32,262,87.0 %,0.8 %,12.2 %
Austria,2008,Macrolides,309,4,37,350,88.3 %,1.1 %,10.6 %
Austria,2009,Macrolides,275,3,41,319,86.2 %,0.9 %,12.9 %
Austria,2010,Macrolides,289,1,33,323,89.5 %,0.3 %,10.2 %
Austria,2011,Macrolides,330,0,43,373,88.5 %,0.0 %,11.5 %
Austria,2012,Macrolides,262,2,55,319,82.1 %,0.6 %,17.2 %
Austria,2013,Macrolides,378,1,42,421,89.8 %,0.2 %,10.0 %
Belgium,1999,Macrolides,584,0,262,846,69.0 %,0.0 %,31.0 %
Belgium,2000,Macrolides,602,0,307,909,66.2 %,0.0 %,33.8 %
Belgium,2001,Macrolides,708,1,384,1093,64.8 %,0.1 %,35.1 %
Belgium,2002,Macrolides,796,1,413,1210,65.8 %,0.1 %,34.1 %
Belgium,2003,Macrolides,981,0,507,1488,65.9 %,0.0 %,34.1 %
Belgium,2004,Macrolides,965,1,477,1443,66.9 %,0.1 %,33.1 %
Belgium,2005,Macrolides,1056,1,482,1539,68.6 %,0.1 %,31.3 %
Belgium,2006,Macrolides,982,1,444,1427,68.8 %,0.1 %,31.1 %
Belgium,2007,Macrolides,1140,1,370,1511,75.4 %,0.1 %,24.5 %
Belgium,2008,Macrolides,1248,0,399,1647,75.8 %,0.0 %,24.2 %
Belgium,2009,Macrolides,1449,1,435,1885,76.9 %,0.1 %,23.1 %
Belgium,2010,Macrolides,1351,2,444,1797,75.2 %,0.1 %,24.7 %
Belgium,2011,Macrolides,1353,0,476,1829,74.0 %,0.0 %,26.0 %
Belgium,2012,Macrolides,1240,4,418,1662,74.6 %,0.2 %,25.2 %
Belgium,2013,Macrolides,1214,2,358,1574,77.1 %,0.1 %,22.7 %
Bulgaria,2000,Macrolides,9,1,2,12,75.0 %,8.3 %,16.7 %
Bulgaria,2001,Macrolides,10,0,1,11,90.9 %,0.0 %,9.1 %
Bulgaria,2002,Macrolides,21,1,1,23,91.3 %,4.3 %,4.3 %
Bulgaria,2003,Macrolides,17,2,0,19,89.5 %,10.5 %,0.0 %
Bulgaria,2004,Macrolides,24,2,3,29,82.8 %,6.9 %,10.3 %
Bulgaria,2005,Macrolides,34,0,3,37,91.9 %,0.0 %,8.1 %
Bulgaria,2006,Macrolides,17,0,3,20,85.0 %,0.0 %,15.0 %
Bulgaria,2007,Macrolides,25,1,4,30,83.3 %,3.3 %,13.3 %
Bulgaria,2008,Macrolides,23,0,1,24,95.8 %,0.0 %,4.2 %
Bulgaria,2009,Macrolides,19,2,5,26,73.1 %,7.7 %,19.2 %
Bulgaria,2010,Macrolides,15,0,5,20,75.0 %,0.0 %,25.0 %
Bulgaria,2011,Macrolides,26,0,4,30,86.7 %,0.0 %,13.3 %
Bulgaria,2012,Macrolides,16,1,3,20,80.0 %,5.0 %,15.0 %
Bulgaria,2013,Macrolides,22,2,3,27,81.5 %,7.4 %,11.1 %
Croatia,2010,Macrolides,72,1,28,101,71.3 %,1.0 %,27.7 %
Croatia,2011,Macrolides,94,0,29,123,76.4 %,0.0 %,23.6 %
Croatia,2012,Macrolides,69,0,8,77,89.6 %,0.0 %,10.4 %
Croatia,2013,Macrolides,78,1,37,116,67.2 %,0.9 %,31.9 %
Cyprus,2003,Macrolides,2,0,1,3,66.7 %,0.0 %,33.3 %
Cyprus,2004,Macrolides,7,0,0,7,100.0 %,0.0 %,0.0 %
Cyprus,2005,Macrolides,14,1,1,16,87.5 %,6.3 %,6.3 %
Cyprus,2006,Macrolides,9,0,4,13,69.2 %,0.0 %,30.8 %
Cyprus,2007,Macrolides,11,1,3,15,73.3 %,6.7 %,20.0 %
Cyprus,2008,Macrolides,10,0,4,14,71.4 %,0.0 %,28.6 %
Cyprus,2009,Macrolides,7,1,3,11,63.6 %,9.1 %,27.3 %
Cyprus,2010,Macrolides,5,1,5,11,45.5 %,9.1 %,45.5 %
Cyprus,2011,Macrolides,9,0,3,12,75.0 %,0.0 %,25.0 %
Cyprus,2012,Macrolides,6,0,1,7,85.7 %,0.0 %,14.3 %
Cyprus,2013,Macrolides,11,0,4,15,73.3 %,0.0 %,26.7 %
Czech Republic,2000,Macrolides,92,0,1,93,98.9 %,0.0 %,1.1 %
Czech Republic,2001,Macrolides,142,0,3,145,97.9 %,0.0 %,2.1 %
Czech Republic,2002,Macrolides,135,0,6,141,95.7 %,0.0 %,4.3 %
Czech Republic,2003,Macrolides,193,0,4,197,98.0 %,0.0 %,2.0 %
Czech Republic,2004,Macrolides,148,0,6,154,96.1 %,0.0 %,3.9 %
Czech Republic,2005,Macrolides,188,0,4,192,97.9 %,0.0 %,2.1 %
Czech Republic,2006,Macrolides,167,0,5,172,97.1 %,0.0 %,2.9 %
Czech Republic,2007,Macrolides,194,0,11,205,94.6 %,0.0 %,5.4 %
