Country,Year,Antibiotic_Group,S,I,R,TotalN,pS,pI,pR
Austria,2000,Penicillins,62,1,0,63,98.4 %,1.6 %,0.0 %
Austria,2001,Penicillins,51,1,1,53,96.2 %,1.9 %,1.9 %
Austria,2002,Penicillins,79,1,0,80,98.8 %,1.3 %,0.0 %
Austria,2003,Penicillins,148,12,2,162,91.4 %,7.4 %,1.2 %
Austria,2004,Penicillins,238,9,3,250,95.2 %,3.6 %,1.2 %
Austria,2005,Penicillins,275,13,2,290,94.8 %,4.5 %,0.7 %
Austria,2006,Penicillins,277,12,2,291,95.2 %,4.1 %,0.7 %
Austria,2007,Penicillins,297,11,5,313,94.9 %,3.5 %,1.6 %
Austria,2008,Penicillins,350,14,3,367,95.4 %,3.8 %,0.8 %
Austria,2009,Penicillins,336,7,9,352,95.5 %,2.0 %,2.6 %
Austria,2010,Penicillins,337,6,8,351,96.0 %,1.7 %,2.3 %
Austria,2011,Penicillins,393,5,7,405,97.0 %,1.2 %,1.7 %
Austria,2012,Penicillins,276,11,4,291,94.8 %,3.8 %,1.4 %
Austria,2013,Penicillins,377,7,1,385,97.9 %,1.8 %,0.3 %
Belgium,1999,Penicillins,732,78,36,846,86.5 %,9.2 %,4.3 %
Belgium,2000,Penicillins,767,94,48,909,84.4 %,10.3 %,5.3 %
Belgium,2001,Penicillins,951,141,1,1093,87.0 %,12.9 %,0.1 %
Belgium,2002,Penicillins,1039,167,4,1210,85.9 %,13.8 %,0.3 %
Belgium,2003,Penicillins,1315,165,8,1488,88.4 %,11.1 %,0.5 %
Belgium,2004,Penicillins,1306,128,9,1443,90.5 %,8.9 %,0.6 %
Belgium,2005,Penicillins,1358,141,40,1539,88.2 %,9.2 %,2.6 %
Belgium,2006,Penicillins,1286,77,64,1427,90.1 %,5.4 %,4.5 %
Belgium,2007,Penicillins,1368,98,45,1511,90.5 %,6.5 %,3.0 %
Belgium,2008,Penicillins,1508,124,15,1647,91.6 %,7.5 %,0.9 %
Belgium,2009,Penicillins,1880,1,4,1885,99.7 %,0.1 %,0.2 %
Belgium,2010,Penicillins,1790,0,7,1797,99.6 %,0.0 %,0.4 %
Belgium,2011,Penicillins,1814,1,14,1829,99.2 %,0.1 %,0.8 %
Belgium,2012,Penicillins,1633,16,9,1658,98.5 %,1.0 %,0.5 %
Belgium,2013,Penicillins,1510,13,13,1536,98.3 %,0.8 %,0.8 %
Bulgaria,2000,Penicillins,10,0,3,13,76.9 %,0.0 %,23.1 %
Bulgaria,2001,Penicillins,15,0,1,16,93.8 %,0.0 %,6.3 %
Bulgaria,2002,Penicillins,23,0,2,25,92.0 %,0.0 %,8.0 %
Bulgaria,2003,Penicillins,19,1,2,22,86.4 %,4.5 %,9.1 %
Bulgaria,2004,Penicillins,25,0,7,32,78.1 %,0.0 %,21.9 %
Bulgaria,2005,Penicillins,29,1,13,43,67.4 %,2.3 %,30.2 %
Bulgaria,2006,Penicillins,27,0,2,29,93.1 %,0.0 %,6.9 %
Bulgaria,2007,Penicillins,27,2,3,32,84.4 %,6.3 %,9.4 %
Bulgaria,2008,Penicillins,23,0,6,29,79.3 %,0.0 %,20.7 %
Bulgaria,2009,Penicillins,17,4,6,27,63.0 %,14.8 %,22.2 %
Bulgaria,2010,Penicillins,18,0,4,22,81.8 %,0.0 %,18.2 %
Bulgaria,2011,Penicillins,26,0,7,33,78.8 %,0.0 %,21.2 %
Bulgaria,2012,Penicillins,15,0,6,21,71.4 %,0.0 %,28.6 %
Bulgaria,2013,Penicillins,22,0,6,28,78.6 %,0.0 %,21.4 %
Croatia,2010,Penicillins,79,0,23,102,77.5 %,0.0 %,22.5 %
Croatia,2011,Penicillins,102,22,1,125,81.6 %,17.6 %,0.8 %
Croatia,2012,Penicillins,75,21,1,97,77.3 %,21.6 %,1.0 %
Croatia,2013,Penicillins,86,0,30,116,74.1 %,0.0 %,25.9 %
Cyprus,2003,Penicillins,3,0,0,3,100.0 %,0.0 %,0.0 %
Cyprus,2004,Penicillins,6,1,0,7,85.7 %,14.3 %,0.0 %
Cyprus,2005,Penicillins,13,3,0,16,81.3 %,18.8 %,0.0 %
Cyprus,2006,Penicillins,8,1,4,13,61.5 %,7.7 %,30.8 %
Cyprus,2007,Penicillins,10,4,1,15,66.7 %,26.7 %,6.7 %
